frame,enemy,state,archetype,x,z,dist
1,1,patrol,swarm,-7.00,-6.00,17.46
1,2,patrol,swarm,-4.00,-9.00,19.42
1,3,patrol,bruiser,9.00,-8.00,20.12
1,4,patrol,pouncer,3.00,-14.00,24.19
2,1,patrol,swarm,-7.03,-5.99,17.47
2,2,patrol,swarm,-4.02,-8.97,19.39
2,3,patrol,bruiser,9.02,-8.01,20.14
2,4,patrol,pouncer,2.99,-13.97,24.15
3,1,patrol,swarm,-7.25,-5.94,17.51
3,2,patrol,swarm,-4.14,-8.79,19.24
3,3,patrol,bruiser,9.16,-8.04,20.24
3,4,patrol,pouncer,2.89,-13.72,23.90
4,1,patrol,swarm,-7.27,-5.94,17.52
4,2,patrol,swarm,-4.15,-8.77,19.22
4,3,patrol,bruiser,9.18,-8.04,20.24
4,4,patrol,pouncer,2.88,-13.70,23.88
5,1,patrol,swarm,-7.28,-5.94,17.52
5,2,patrol,swarm,-4.16,-8.76,19.22
5,3,patrol,bruiser,9.18,-8.05,20.25
5,4,patrol,pouncer,2.88,-13.69,23.87
6,1,patrol,swarm,-7.29,-5.94,17.52
6,2,patrol,swarm,-4.16,-8.76,19.21
6,3,patrol,bruiser,9.19,-8.05,20.25
6,4,patrol,pouncer,2.88,-13.68,23.86
7,1,patrol,swarm,-7.29,-5.93,17.52
7,2,patrol,swarm,-4.17,-8.75,19.21
7,3,patrol,bruiser,9.19,-8.05,20.26
7,4,patrol,pouncer,2.87,-13.67,23.85
8,1,patrol,swarm,-7.30,-5.93,17.53
8,2,patrol,swarm,-4.17,-8.74,19.20
8,3,patrol,bruiser,9.20,-8.05,20.26
8,4,patrol,pouncer,2.87,-13.66,23.84
9,1,patrol,swarm,-7.31,-5.93,17.53
9,2,patrol,swarm,-4.18,-8.74,19.20
9,3,patrol,bruiser,9.21,-8.05,20.26
9,4,patrol,pouncer,2.87,-13.66,23.83
10,1,patrol,swarm,-7.31,-5.93,17.53
10,2,patrol,swarm,-4.18,-8.73,19.19
10,3,patrol,bruiser,9.21,-8.05,20.27
10,4,patrol,pouncer,2.86,-13.65,23.82
11,1,patrol,swarm,-7.33,-5.93,17.53
11,2,patrol,swarm,-4.19,-8.72,19.18
11,3,patrol,bruiser,9.22,-8.06,20.27
11,4,patrol,pouncer,2.86,-13.63,23.80
12,1,patrol,swarm,-7.35,-5.92,17.54
12,2,patrol,swarm,-4.20,-8.71,19.17
12,3,patrol,bruiser,9.23,-8.06,20.28
12,4,patrol,pouncer,2.85,-13.62,23.79
13,1,patrol,swarm,-7.36,-5.92,17.54
13,2,patrol,swarm,-4.21,-8.69,19.16
13,3,patrol,bruiser,9.24,-8.06,20.29
13,4,patrol,pouncer,2.84,-13.59,23.76
14,1,patrol,swarm,-7.38,-5.91,17.54
14,2,patrol,swarm,-4.22,-8.67,19.14
14,3,patrol,bruiser,9.26,-8.06,20.30
14,4,patrol,pouncer,2.83,-13.57,23.74
15,1,patrol,swarm,-7.40,-5.91,17.55
15,2,patrol,swarm,-4.23,-8.66,19.13
15,3,patrol,bruiser,9.27,-8.07,20.30
15,4,patrol,pouncer,2.83,-13.55,23.72
16,1,patrol,swarm,-7.42,-5.91,17.55
16,2,patrol,swarm,-4.24,-8.64,19.12
16,3,patrol,bruiser,9.28,-8.07,20.31
16,4,patrol,pouncer,2.82,-13.53,23.70
17,1,patrol,swarm,-7.44,-5.90,17.56
17,2,patrol,swarm,-4.25,-8.62,19.10
17,3,patrol,bruiser,9.29,-8.07,20.32
17,4,patrol,pouncer,2.81,-13.51,23.67
18,1,patrol,swarm,-7.46,-5.90,17.56
18,2,patrol,swarm,-4.26,-8.61,19.09
18,3,patrol,bruiser,9.30,-8.08,20.33
18,4,patrol,pouncer,2.80,-13.49,23.65
19,1,patrol,swarm,-7.48,-5.89,17.56
19,2,patrol,swarm,-4.27,-8.59,19.08
19,3,patrol,bruiser,9.32,-8.08,20.34
19,4,patrol,pouncer,2.79,-13.47,23.63
20,1,patrol,swarm,-7.50,-5.89,17.57
20,2,patrol,swarm,-4.28,-8.57,19.06
20,3,patrol,bruiser,9.33,-8.08,20.35
20,4,patrol,pouncer,2.78,-13.44,23.61
21,1,patrol,swarm,-7.52,-5.88,17.57
21,2,patrol,swarm,-4.29,-8.56,19.05
21,3,patrol,bruiser,9.34,-8.09,20.36
21,4,patrol,pouncer,2.78,-13.42,23.59
22,1,patrol,swarm,-7.54,-5.88,17.58
22,2,patrol,swarm,-4.30,-8.54,19.04
22,3,patrol,bruiser,9.35,-8.09,20.36
22,4,patrol,pouncer,2.77,-13.40,23.57
23,1,patrol,swarm,-7.56,-5.88,17.58
23,2,patrol,swarm,-4.32,-8.53,19.02
23,3,patrol,bruiser,9.37,-8.09,20.37
23,4,patrol,pouncer,2.76,-13.38,23.54
24,1,patrol,swarm,-7.57,-5.87,17.59
24,2,patrol,swarm,-4.33,-8.51,19.01
24,3,patrol,bruiser,9.38,-8.10,20.38
24,4,patrol,pouncer,2.75,-13.36,23.52
25,1,patrol,swarm,-7.59,-5.87,17.59
25,2,patrol,swarm,-4.34,-8.49,19.00
25,3,patrol,bruiser,9.39,-8.10,20.39
25,4,patrol,pouncer,2.74,-13.34,23.50
26,1,patrol,swarm,-7.61,-5.86,17.59
26,2,patrol,swarm,-4.35,-8.48,18.98
26,3,patrol,bruiser,9.40,-8.10,20.40
26,4,patrol,pouncer,2.73,-13.32,23.48
27,1,patrol,swarm,-7.63,-5.86,17.60
27,2,patrol,swarm,-4.36,-8.46,18.97
27,3,patrol,bruiser,9.42,-8.10,20.41
27,4,patrol,pouncer,2.73,-13.30,23.46
28,1,patrol,swarm,-7.65,-5.85,17.60
28,2,patrol,swarm,-4.37,-8.45,18.96
28,3,patrol,bruiser,9.43,-8.11,20.42
28,4,patrol,pouncer,2.72,-13.28,23.44
29,1,patrol,swarm,-7.67,-5.85,17.61
29,2,patrol,swarm,-4.38,-8.43,18.94
29,3,patrol,bruiser,9.44,-8.11,20.42
29,4,patrol,pouncer,2.71,-13.26,23.41
30,1,patrol,swarm,-7.69,-5.85,17.61
30,2,patrol,swarm,-4.39,-8.42,18.93
30,3,patrol,bruiser,9.45,-8.11,20.43
30,4,patrol,pouncer,2.70,-13.24,23.39
31,1,patrol,swarm,-7.70,-5.84,17.62
31,2,patrol,swarm,-4.40,-8.40,18.92
31,3,patrol,bruiser,9.47,-8.12,20.44
31,4,patrol,pouncer,2.69,-13.22,23.37
32,1,patrol,swarm,-7.72,-5.84,17.62
32,2,patrol,swarm,-4.41,-8.38,18.91
32,3,patrol,bruiser,9.48,-8.12,20.45
32,4,patrol,pouncer,2.69,-13.19,23.35
33,1,patrol,swarm,-7.74,-5.83,17.63
33,2,patrol,swarm,-4.42,-8.37,18.89
33,3,patrol,bruiser,9.49,-8.12,20.46
33,4,patrol,pouncer,2.68,-13.17,23.33
34,1,patrol,swarm,-7.76,-5.83,17.63
34,2,patrol,swarm,-4.43,-8.35,18.88
34,3,patrol,bruiser,9.50,-8.13,20.47
34,4,patrol,pouncer,2.67,-13.15,23.31
35,1,patrol,swarm,-7.78,-5.82,17.63
35,2,patrol,swarm,-4.44,-8.33,18.87
35,3,patrol,bruiser,9.52,-8.13,20.48
35,4,patrol,pouncer,2.66,-13.13,23.28
36,1,patrol,swarm,-7.80,-5.82,17.64
36,2,patrol,swarm,-4.45,-8.32,18.85
36,3,patrol,bruiser,9.53,-8.13,20.48
36,4,patrol,pouncer,2.65,-13.11,23.26
37,1,patrol,swarm,-7.82,-5.82,17.64
37,2,patrol,swarm,-4.46,-8.30,18.84
37,3,patrol,bruiser,9.54,-8.14,20.49
37,4,patrol,pouncer,2.65,-13.09,23.24
38,1,patrol,swarm,-7.83,-5.81,17.65
38,2,patrol,swarm,-4.47,-8.29,18.83
38,3,patrol,bruiser,9.55,-8.14,20.50
38,4,patrol,pouncer,2.64,-13.07,23.22
39,1,patrol,swarm,-7.85,-5.81,17.65
39,2,patrol,swarm,-4.48,-8.27,18.81
39,3,patrol,bruiser,9.57,-8.14,20.51
39,4,patrol,pouncer,2.63,-13.05,23.20
40,1,patrol,swarm,-7.87,-5.80,17.66
40,2,patrol,swarm,-4.49,-8.26,18.80
40,3,patrol,bruiser,9.58,-8.14,20.52
40,4,patrol,pouncer,2.62,-13.03,23.18
41,1,patrol,swarm,-7.89,-5.80,17.66
41,2,patrol,swarm,-4.51,-8.24,18.79
41,3,patrol,bruiser,9.59,-8.15,20.53
41,4,patrol,pouncer,2.61,-13.01,23.16
42,1,patrol,swarm,-7.91,-5.80,17.67
42,2,patrol,swarm,-4.52,-8.23,18.78
42,3,patrol,bruiser,9.60,-8.15,20.53
42,4,patrol,pouncer,2.61,-12.99,23.14
43,1,patrol,swarm,-7.93,-5.79,17.67
43,2,patrol,swarm,-4.53,-8.21,18.76
43,3,patrol,bruiser,9.61,-8.15,20.54
43,4,patrol,pouncer,2.60,-12.97,23.12
44,1,patrol,swarm,-7.94,-5.79,17.67
44,2,patrol,swarm,-4.54,-8.19,18.75
44,3,patrol,bruiser,9.63,-8.16,20.55
44,4,patrol,pouncer,2.59,-12.95,23.09
45,1,patrol,swarm,-7.96,-5.78,17.68
45,2,patrol,swarm,-4.55,-8.18,18.74
45,3,patrol,bruiser,9.64,-8.16,20.56
45,4,patrol,pouncer,2.58,-12.93,23.07
46,1,patrol,swarm,-7.98,-5.78,17.68
46,2,patrol,swarm,-4.56,-8.16,18.73
46,3,patrol,bruiser,9.65,-8.16,20.57
46,4,patrol,pouncer,2.57,-12.91,23.05
47,1,patrol,swarm,-8.00,-5.78,17.69
47,2,patrol,swarm,-4.57,-8.15,18.71
47,3,patrol,bruiser,9.66,-8.17,20.58
47,4,patrol,pouncer,2.57,-12.89,23.03
48,1,patrol,swarm,-8.02,-5.77,17.69
48,2,patrol,swarm,-4.58,-8.13,18.70
48,3,patrol,bruiser,9.67,-8.17,20.58
48,4,patrol,pouncer,2.56,-12.87,23.01
49,1,patrol,swarm,-8.03,-5.77,17.70
49,2,patrol,swarm,-4.59,-8.12,18.69
49,3,patrol,bruiser,9.69,-8.17,20.59
49,4,patrol,pouncer,2.55,-12.85,22.99
50,1,patrol,swarm,-8.05,-5.76,17.70
50,2,patrol,swarm,-4.60,-8.10,18.68
50,3,patrol,bruiser,9.70,-8.18,20.60
50,4,patrol,pouncer,2.54,-12.83,22.97
51,1,patrol,swarm,-8.07,-5.76,17.71
51,2,patrol,swarm,-4.61,-8.09,18.66
51,3,patrol,bruiser,9.71,-8.18,20.61
51,4,patrol,pouncer,2.53,-12.81,22.95
52,1,patrol,swarm,-8.09,-5.76,17.71
52,2,patrol,swarm,-4.62,-8.07,18.65
52,3,patrol,bruiser,9.72,-8.18,20.62
52,4,patrol,pouncer,2.53,-12.79,22.93
53,1,patrol,swarm,-8.11,-5.75,17.72
53,2,patrol,swarm,-4.63,-8.05,18.64
53,3,patrol,bruiser,9.74,-8.18,20.63
53,4,patrol,pouncer,2.52,-12.76,22.90
54,1,patrol,swarm,-8.13,-5.75,17.72
54,2,patrol,swarm,-4.64,-8.04,18.63
54,3,patrol,bruiser,9.75,-8.19,20.63
54,4,patrol,pouncer,2.51,-12.75,22.88
55,1,patrol,swarm,-8.14,-5.74,17.72
55,2,patrol,swarm,-4.65,-8.02,18.61
55,3,patrol,bruiser,9.76,-8.19,20.64
55,4,patrol,pouncer,2.50,-12.73,22.86
56,1,patrol,swarm,-8.16,-5.74,17.73
56,2,patrol,swarm,-4.66,-8.01,18.60
56,3,patrol,bruiser,9.77,-8.19,20.65
56,4,patrol,pouncer,2.50,-12.71,22.84
57,1,patrol,swarm,-8.18,-5.74,17.73
57,2,patrol,swarm,-4.67,-7.99,18.59
57,3,patrol,bruiser,9.78,-8.20,20.66
57,4,patrol,pouncer,2.49,-12.69,22.82
58,1,patrol,swarm,-8.20,-5.73,17.74
58,2,patrol,swarm,-4.68,-7.98,18.58
58,3,patrol,bruiser,9.79,-8.20,20.67
58,4,patrol,pouncer,2.48,-12.67,22.80
59,1,patrol,swarm,-8.22,-5.73,17.74
59,2,patrol,swarm,-4.69,-7.96,18.57
59,3,patrol,bruiser,9.81,-8.20,20.68
59,4,patrol,pouncer,2.47,-12.65,22.78
60,1,patrol,swarm,-8.23,-5.72,17.75
60,2,patrol,swarm,-4.70,-7.95,18.55
60,3,patrol,bruiser,9.82,-8.21,20.68
60,4,patrol,pouncer,2.46,-12.63,22.76
61,1,patrol,swarm,-8.25,-5.72,17.75
61,2,patrol,swarm,-4.71,-7.93,18.54
61,3,patrol,bruiser,9.83,-8.21,20.69
61,4,patrol,pouncer,2.46,-12.61,22.74
62,1,patrol,swarm,-8.27,-5.71,17.76
62,2,patrol,swarm,-4.72,-7.92,18.53
62,3,patrol,bruiser,9.84,-8.21,20.70
62,4,patrol,pouncer,2.45,-12.58,22.72
63,1,patrol,swarm,-8.29,-5.71,17.76
63,2,patrol,swarm,-4.73,-7.90,18.52
63,3,patrol,bruiser,9.85,-8.21,20.71
63,4,patrol,pouncer,2.44,-12.57,22.70
64,1,patrol,swarm,-8.31,-5.71,17.77
64,2,patrol,swarm,-4.74,-7.89,18.50
64,3,patrol,bruiser,9.87,-8.22,20.72
64,4,patrol,pouncer,2.43,-12.55,22.68
65,1,patrol,swarm,-8.32,-5.70,17.77
65,2,patrol,swarm,-4.75,-7.87,18.49
65,3,patrol,bruiser,9.88,-8.22,20.73
65,4,patrol,pouncer,2.42,-12.53,22.66
66,1,patrol,swarm,-8.34,-5.70,17.78
66,2,patrol,swarm,-4.76,-7.86,18.48
66,3,patrol,bruiser,9.89,-8.22,20.73
66,4,patrol,pouncer,2.42,-12.51,22.63
67,1,patrol,swarm,-8.36,-5.69,17.78
67,2,patrol,swarm,-4.77,-7.84,18.47
67,3,patrol,bruiser,9.90,-8.23,20.74
67,4,patrol,pouncer,2.41,-12.49,22.61
68,1,patrol,swarm,-8.38,-5.69,17.79
68,2,patrol,swarm,-4.78,-7.83,18.46
68,3,patrol,bruiser,9.91,-8.23,20.75
68,4,patrol,pouncer,2.40,-12.47,22.59
69,1,patrol,swarm,-8.40,-5.69,17.79
69,2,patrol,swarm,-4.79,-7.81,18.44
69,3,patrol,bruiser,9.92,-8.23,20.76
69,4,patrol,pouncer,2.39,-12.45,22.57
70,1,patrol,swarm,-8.42,-5.68,17.80
70,2,patrol,swarm,-4.80,-7.79,18.43
70,3,patrol,bruiser,9.94,-8.24,20.77
70,4,patrol,pouncer,2.38,-12.42,22.55
71,1,patrol,swarm,-8.43,-5.68,17.80
71,2,patrol,swarm,-4.81,-7.78,18.42
71,3,patrol,bruiser,9.95,-8.24,20.77
71,4,patrol,pouncer,2.38,-12.41,22.53
72,1,patrol,swarm,-8.45,-5.67,17.81
72,2,patrol,swarm,-4.82,-7.76,18.41
72,3,patrol,bruiser,9.96,-8.24,20.78
72,4,patrol,pouncer,2.37,-12.39,22.51
73,1,patrol,swarm,-8.46,-5.67,17.81
73,2,patrol,swarm,-4.83,-7.75,18.40
73,3,patrol,bruiser,9.97,-8.24,20.79
73,4,patrol,pouncer,2.36,-12.37,22.49
74,1,patrol,swarm,-8.49,-5.67,17.82
74,2,patrol,swarm,-4.85,-7.73,18.38
74,3,patrol,bruiser,9.99,-8.25,20.80
74,4,patrol,pouncer,2.35,-12.34,22.46
75,1,patrol,swarm,-8.50,-5.66,17.82
75,2,patrol,swarm,-4.85,-7.72,18.37
75,3,patrol,bruiser,9.99,-8.25,20.81
75,4,patrol,pouncer,2.35,-12.33,22.45
76,1,patrol,swarm,-8.53,-5.66,17.83
76,2,patrol,swarm,-4.87,-7.70,18.36
76,3,patrol,bruiser,10.01,-8.25,20.82
76,4,patrol,pouncer,2.34,-12.30,22.42
77,1,patrol,swarm,-8.54,-5.66,17.83
77,2,patrol,swarm,-4.87,-7.69,18.35
77,3,patrol,bruiser,10.02,-8.26,20.82
77,4,patrol,pouncer,2.33,-12.29,22.41
78,1,patrol,swarm,-8.56,-5.65,17.84
78,2,patrol,swarm,-4.88,-7.67,18.33
78,3,patrol,bruiser,10.03,-8.26,20.83
78,4,patrol,pouncer,2.32,-12.27,22.39
79,1,patrol,swarm,-8.57,-5.65,17.84
79,2,patrol,swarm,-4.89,-7.66,18.33
79,3,patrol,bruiser,10.04,-8.26,20.84
79,4,patrol,pouncer,2.32,-12.25,22.37
80,1,patrol,swarm,-8.59,-5.64,17.85
80,2,patrol,swarm,-4.90,-7.64,18.31
80,3,patrol,bruiser,10.05,-8.26,20.85
80,4,patrol,pouncer,2.31,-12.23,22.35
81,1,patrol,swarm,-8.61,-5.64,17.85
81,2,patrol,swarm,-4.91,-7.63,18.30
81,3,patrol,bruiser,10.06,-8.27,20.86
81,4,patrol,pouncer,2.30,-12.21,22.33
82,1,patrol,swarm,-8.63,-5.63,17.86
82,2,patrol,swarm,-4.92,-7.61,18.29
82,3,patrol,bruiser,10.08,-8.27,20.87
82,4,patrol,pouncer,2.29,-12.19,22.31
83,1,patrol,swarm,-8.64,-5.63,17.86
83,2,patrol,swarm,-4.93,-7.60,18.28
83,3,patrol,bruiser,10.09,-8.27,20.87
83,4,patrol,pouncer,2.29,-12.17,22.29
84,1,patrol,swarm,-8.66,-5.63,17.87
84,2,patrol,swarm,-4.94,-7.58,18.26
84,3,patrol,bruiser,10.10,-8.28,20.88
84,4,patrol,pouncer,2.28,-12.15,22.26
85,1,patrol,swarm,-8.67,-5.62,17.87
85,2,patrol,swarm,-4.95,-7.57,18.26
85,3,patrol,bruiser,10.11,-8.28,20.89
85,4,patrol,pouncer,2.27,-12.13,22.25
86,1,patrol,swarm,-8.70,-5.62,17.88
86,2,patrol,swarm,-4.97,-7.55,18.24
86,3,patrol,bruiser,10.13,-8.28,20.90
86,4,patrol,pouncer,2.26,-12.11,22.22
87,1,patrol,swarm,-8.71,-5.62,17.88
87,2,patrol,swarm,-4.97,-7.54,18.23
87,3,patrol,bruiser,10.13,-8.28,20.90
87,4,patrol,pouncer,2.26,-12.10,22.21
88,1,patrol,swarm,-8.73,-5.61,17.89
88,2,patrol,swarm,-4.98,-7.52,18.22
88,3,patrol,bruiser,10.15,-8.29,20.91
88,4,patrol,pouncer,2.25,-12.07,22.18
89,1,patrol,swarm,-8.74,-5.61,17.89
89,2,patrol,swarm,-4.99,-7.51,18.21
89,3,patrol,bruiser,10.16,-8.29,20.92
89,4,patrol,pouncer,2.24,-12.06,22.17
90,1,patrol,swarm,-8.77,-5.60,17.90
90,2,patrol,swarm,-5.00,-7.49,18.19
90,3,patrol,bruiser,10.17,-8.29,20.93
90,4,patrol,pouncer,2.23,-12.03,22.14
91,1,patrol,swarm,-8.78,-5.60,17.90
91,2,patrol,swarm,-5.01,-7.48,18.19
91,3,patrol,bruiser,10.18,-8.30,20.94
91,4,patrol,pouncer,2.23,-12.02,22.13
92,1,patrol,swarm,-8.80,-5.59,17.91
92,2,patrol,swarm,-5.03,-7.46,18.17
92,3,patrol,bruiser,10.20,-8.30,20.95
92,4,patrol,pouncer,2.22,-11.99,22.10
93,1,patrol,swarm,-8.81,-5.59,17.91
93,2,patrol,swarm,-5.03,-7.45,18.16
93,3,patrol,bruiser,10.20,-8.30,20.95
93,4,patrol,pouncer,2.21,-11.98,22.09
94,1,patrol,swarm,-8.85,-5.58,17.92
94,2,patrol,swarm,-5.05,-7.42,18.14
94,3,patrol,bruiser,10.23,-8.31,20.97
94,4,patrol,pouncer,2.20,-11.94,22.05
95,1,patrol,swarm,-8.86,-5.58,17.92
95,2,patrol,swarm,-5.06,-7.42,18.14
95,3,patrol,bruiser,10.23,-8.31,20.97
95,4,patrol,pouncer,2.19,-11.93,22.04
96,1,patrol,swarm,-8.89,-5.58,17.93
96,2,patrol,swarm,-5.07,-7.39,18.12
96,3,patrol,bruiser,10.25,-8.31,20.99
96,4,patrol,pouncer,2.18,-11.90,22.01
97,1,patrol,swarm,-8.89,-5.58,17.93
97,2,patrol,swarm,-5.07,-7.39,18.11
97,3,patrol,bruiser,10.25,-8.31,20.99
97,4,patrol,pouncer,2.18,-11.89,22.00
98,1,patrol,swarm,-8.92,-5.57,17.94
98,2,patrol,swarm,-5.09,-7.36,18.09
98,3,patrol,bruiser,10.27,-8.32,21.00
98,4,patrol,pouncer,2.17,-11.86,21.97
99,1,patrol,swarm,-8.92,-5.57,17.94
99,2,patrol,swarm,-5.09,-7.36,18.09
99,3,patrol,bruiser,10.27,-8.32,21.00
99,4,patrol,pouncer,2.16,-11.86,21.96
100,1,patrol,swarm,-8.95,-5.56,17.95
100,2,patrol,swarm,-5.11,-7.33,18.07
100,3,patrol,bruiser,10.29,-8.32,21.02
100,4,patrol,pouncer,2.15,-11.82,21.93
101,1,patrol,swarm,-8.96,-5.56,17.95
101,2,patrol,swarm,-5.11,-7.33,18.07
101,3,patrol,bruiser,10.30,-8.33,21.02
101,4,patrol,pouncer,2.15,-11.82,21.92
102,1,patrol,swarm,-8.99,-5.55,17.96
102,2,patrol,swarm,-5.13,-7.31,18.05
102,3,patrol,bruiser,10.32,-8.33,21.03
102,4,patrol,pouncer,2.14,-11.79,21.89
103,1,patrol,swarm,-8.99,-5.55,17.96
103,2,patrol,swarm,-5.13,-7.30,18.05
103,3,patrol,bruiser,10.32,-8.33,21.04
103,4,patrol,pouncer,2.13,-11.78,21.89
104,1,patrol,swarm,-9.02,-5.55,17.97
104,2,patrol,swarm,-5.15,-7.28,18.03
104,3,patrol,bruiser,10.34,-8.34,21.05
104,4,patrol,pouncer,2.12,-11.75,21.85
105,1,patrol,swarm,-9.03,-5.54,17.98
105,2,patrol,swarm,-5.15,-7.27,18.02
105,3,patrol,bruiser,10.34,-8.34,21.05
105,4,patrol,pouncer,2.12,-11.74,21.84
106,1,patrol,swarm,-9.05,-5.54,17.98
106,2,patrol,swarm,-5.17,-7.25,18.01
106,3,patrol,bruiser,10.36,-8.34,21.07
106,4,patrol,pouncer,2.11,-11.71,21.81
107,1,patrol,swarm,-9.06,-5.54,17.99
107,2,patrol,swarm,-5.17,-7.24,18.00
107,3,patrol,bruiser,10.36,-8.34,21.07
107,4,patrol,pouncer,2.11,-11.71,21.81
108,1,patrol,swarm,-9.08,-5.53,17.99
108,2,patrol,swarm,-5.18,-7.22,17.99
108,3,patrol,bruiser,10.38,-8.35,21.08
108,4,patrol,pouncer,2.09,-11.68,21.78
109,1,patrol,swarm,-9.09,-5.53,17.99
109,2,patrol,swarm,-5.19,-7.22,17.98
109,3,patrol,bruiser,10.38,-8.35,21.08
109,4,patrol,pouncer,2.09,-11.67,21.77
110,1,patrol,swarm,-9.11,-5.53,18.00
110,2,patrol,swarm,-5.20,-7.20,17.97
110,3,patrol,bruiser,10.40,-8.35,21.09
110,4,patrol,pouncer,2.08,-11.65,21.75
111,1,patrol,swarm,-9.12,-5.52,18.00
111,2,patrol,swarm,-5.20,-7.20,17.97
111,3,patrol,bruiser,10.40,-8.35,21.10
111,4,patrol,pouncer,2.08,-11.64,21.74
112,1,patrol,swarm,-9.15,-5.52,18.02
112,2,patrol,swarm,-5.16,-7.23,17.98
112,3,patrol,bruiser,10.43,-8.36,21.11
112,4,patrol,pouncer,2.06,-11.60,21.70
113,1,patrol,swarm,-9.16,-5.52,18.02
113,2,patrol,swarm,-5.16,-7.23,17.98
113,3,patrol,bruiser,10.43,-8.36,21.12
113,4,patrol,pouncer,2.06,-11.60,21.69
114,1,patrol,swarm,-9.18,-5.51,17.95
114,2,patrol,swarm,-5.13,-7.25,17.91
114,3,patrol,bruiser,10.45,-8.36,21.04
114,4,patrol,pouncer,2.05,-11.57,21.57
115,1,patrol,swarm,-9.19,-5.51,17.94
115,2,patrol,swarm,-5.13,-7.25,17.90
115,3,patrol,bruiser,10.45,-8.36,21.03
115,4,patrol,pouncer,2.05,-11.56,21.55
116,1,patrol,swarm,-9.21,-5.50,17.87
116,2,patrol,swarm,-5.10,-7.27,17.82
116,3,patrol,bruiser,10.44,-8.34,20.91
116,4,patrol,pouncer,2.04,-11.53,21.42
117,1,patrol,swarm,-9.22,-5.50,17.86
117,2,patrol,swarm,-5.10,-7.27,17.80
117,3,patrol,bruiser,10.44,-8.34,20.89
117,4,patrol,pouncer,2.04,-11.53,21.40
118,1,patrol,swarm,-9.25,-5.49,17.77
118,2,patrol,swarm,-5.07,-7.30,17.70
118,3,patrol,bruiser,10.44,-8.31,20.75
118,4,patrol,pouncer,2.02,-11.49,21.23
119,1,patrol,swarm,-9.26,-5.49,17.76
119,2,patrol,swarm,-5.06,-7.30,17.69
119,3,patrol,bruiser,10.44,-8.31,20.73
119,4,patrol,pouncer,2.02,-11.49,21.21
120,1,patrol,swarm,-9.28,-5.49,17.69
120,2,patrol,swarm,-5.04,-7.32,17.61
120,3,patrol,bruiser,10.43,-8.29,20.62
120,4,patrol,pouncer,2.01,-11.46,21.08
121,1,patrol,swarm,-9.29,-5.49,17.68
121,2,patrol,swarm,-5.03,-7.32,17.59
121,3,patrol,bruiser,10.43,-8.29,20.60
121,4,patrol,pouncer,2.01,-11.45,21.06
122,1,patrol,swarm,-9.31,-5.48,17.62
122,2,patrol,swarm,-5.01,-7.34,17.52
122,3,patrol,bruiser,10.42,-8.27,20.49
122,4,patrol,pouncer,2.00,-11.43,20.94
123,1,patrol,swarm,-9.32,-5.48,17.60
123,2,patrol,swarm,-5.00,-7.34,17.50
123,3,patrol,bruiser,10.42,-8.26,20.46
123,4,patrol,pouncer,1.99,-11.42,20.91
124,1,patrol,swarm,-9.35,-5.47,17.52
124,2,patrol,swarm,-4.97,-7.37,17.40
124,3,patrol,bruiser,10.42,-8.24,20.32
124,4,patrol,pouncer,1.98,-11.38,20.74
125,1,patrol,swarm,-9.35,-5.47,17.51
125,2,patrol,swarm,-4.97,-7.37,17.38
125,3,patrol,bruiser,10.42,-8.23,20.30
125,4,patrol,pouncer,1.98,-11.38,20.72
126,1,patrol,swarm,-9.39,-5.46,17.43
126,2,patrol,swarm,-4.94,-7.39,17.29
126,3,patrol,bruiser,10.41,-8.21,20.17
126,4,patrol,pouncer,1.96,-11.34,20.56
127,1,patrol,swarm,-9.39,-5.46,17.41
127,2,patrol,swarm,-4.93,-7.40,17.27
127,3,patrol,bruiser,10.41,-8.20,20.15
127,4,patrol,pouncer,1.96,-11.34,20.54
128,1,patrol,swarm,-9.42,-5.46,17.35
128,2,patrol,swarm,-4.91,-7.41,17.19
128,3,patrol,bruiser,10.40,-8.18,20.04
128,4,patrol,pouncer,1.95,-11.31,20.41
