frame,enemy,state,archetype,x,z,dist
1,1,patrol,swarm,-7.00,-6.00,17.46
1,2,patrol,swarm,-4.00,-9.00,19.42
1,3,patrol,bruiser,9.00,-8.00,20.12
1,4,patrol,pouncer,3.00,-14.00,24.19
2,1,patrol,swarm,-7.03,-5.99,17.47
2,2,patrol,swarm,-4.01,-8.98,19.40
2,3,patrol,bruiser,9.02,-8.00,20.14
2,4,patrol,pouncer,2.99,-13.97,24.16
3,1,patrol,swarm,-7.23,-5.95,17.51
3,2,patrol,swarm,-4.13,-8.81,19.25
3,3,patrol,bruiser,9.15,-8.04,20.23
3,4,patrol,pouncer,2.90,-13.75,23.92
4,1,patrol,swarm,-7.24,-5.95,17.51
4,2,patrol,swarm,-4.14,-8.80,19.25
4,3,patrol,bruiser,9.16,-8.04,20.23
4,4,patrol,pouncer,2.90,-13.73,23.91
5,1,patrol,swarm,-7.24,-5.95,17.51
5,2,patrol,swarm,-4.14,-8.79,19.24
5,3,patrol,bruiser,9.16,-8.04,20.23
5,4,patrol,pouncer,2.89,-13.73,23.90
6,1,patrol,swarm,-7.25,-5.94,17.51
6,2,patrol,swarm,-4.14,-8.79,19.24
6,3,patrol,bruiser,9.17,-8.04,20.24
6,4,patrol,pouncer,2.89,-13.72,23.90
7,1,patrol,swarm,-7.25,-5.94,17.52
7,2,patrol,swarm,-4.14,-8.78,19.23
7,3,patrol,bruiser,9.17,-8.04,20.24
7,4,patrol,pouncer,2.89,-13.72,23.89
8,1,patrol,swarm,-7.26,-5.94,17.52
8,2,patrol,swarm,-4.15,-8.78,19.23
8,3,patrol,bruiser,9.17,-8.04,20.24
8,4,patrol,pouncer,2.89,-13.71,23.89
9,1,patrol,swarm,-7.27,-5.94,17.52
9,2,patrol,swarm,-4.15,-8.77,19.22
9,3,patrol,bruiser,9.18,-8.04,20.24
9,4,patrol,pouncer,2.88,-13.70,23.88
10,1,patrol,swarm,-7.28,-5.94,17.52
10,2,patrol,swarm,-4.16,-8.76,19.22
10,3,patrol,bruiser,9.19,-8.05,20.25
10,4,patrol,pouncer,2.88,-13.69,23.86
11,1,patrol,swarm,-7.30,-5.93,17.53
11,2,patrol,swarm,-4.17,-8.74,19.20
11,3,patrol,bruiser,9.20,-8.05,20.26
11,4,patrol,pouncer,2.87,-13.66,23.84
12,1,patrol,swarm,-7.32,-5.93,17.53
12,2,patrol,swarm,-4.18,-8.73,19.19
12,3,patrol,bruiser,9.21,-8.05,20.27
12,4,patrol,pouncer,2.86,-13.64,23.82
13,1,patrol,swarm,-7.34,-5.92,17.53
13,2,patrol,swarm,-4.19,-8.71,19.17
13,3,patrol,bruiser,9.22,-8.06,20.28
13,4,patrol,pouncer,2.85,-13.62,23.79
14,1,patrol,swarm,-7.36,-5.92,17.54
14,2,patrol,swarm,-4.20,-8.69,19.16
14,3,patrol,bruiser,9.24,-8.06,20.28
14,4,patrol,pouncer,2.84,-13.60,23.77
15,1,patrol,swarm,-7.38,-5.92,17.54
15,2,patrol,swarm,-4.21,-8.68,19.15
15,3,patrol,bruiser,9.25,-8.06,20.29
15,4,patrol,pouncer,2.84,-13.58,23.75
16,1,patrol,swarm,-7.40,-5.91,17.55
16,2,patrol,swarm,-4.23,-8.66,19.13
16,3,patrol,bruiser,9.26,-8.07,20.30
16,4,patrol,pouncer,2.83,-13.56,23.73
17,1,patrol,swarm,-7.42,-5.91,17.55
17,2,patrol,swarm,-4.24,-8.64,19.12
17,3,patrol,bruiser,9.28,-8.07,20.31
17,4,patrol,pouncer,2.82,-13.53,23.70
18,1,patrol,swarm,-7.44,-5.90,17.55
18,2,patrol,swarm,-4.25,-8.63,19.11
18,3,patrol,bruiser,9.29,-8.07,20.32
18,4,patrol,pouncer,2.81,-13.51,23.68
19,1,patrol,swarm,-7.46,-5.90,17.56
19,2,patrol,swarm,-4.26,-8.61,19.09
19,3,patrol,bruiser,9.30,-8.08,20.33
19,4,patrol,pouncer,2.80,-13.49,23.66
20,1,patrol,swarm,-7.47,-5.89,17.56
20,2,patrol,swarm,-4.27,-8.60,19.08
20,3,patrol,bruiser,9.31,-8.08,20.34
20,4,patrol,pouncer,2.79,-13.47,23.64
21,1,patrol,swarm,-7.49,-5.89,17.57
21,2,patrol,swarm,-4.28,-8.58,19.07
21,3,patrol,bruiser,9.33,-8.08,20.35
21,4,patrol,pouncer,2.79,-13.45,23.62
22,1,patrol,swarm,-7.51,-5.88,17.57
22,2,patrol,swarm,-4.29,-8.56,19.05
22,3,patrol,bruiser,9.34,-8.09,20.36
22,4,patrol,pouncer,2.78,-13.43,23.59
23,1,patrol,swarm,-7.53,-5.88,17.58
23,2,patrol,swarm,-4.30,-8.55,19.04
23,3,patrol,bruiser,9.35,-8.09,20.36
23,4,patrol,pouncer,2.77,-13.41,23.57
24,1,patrol,swarm,-7.55,-5.88,17.58
24,2,patrol,swarm,-4.31,-8.53,19.03
24,3,patrol,bruiser,9.37,-8.09,20.37
24,4,patrol,pouncer,2.76,-13.39,23.55
25,1,patrol,swarm,-7.57,-5.87,17.59
25,2,patrol,swarm,-4.32,-8.51,19.01
25,3,patrol,bruiser,9.38,-8.09,20.38
25,4,patrol,pouncer,2.75,-13.36,23.53
26,1,patrol,swarm,-7.59,-5.87,17.59
26,2,patrol,swarm,-4.33,-8.50,19.00
26,3,patrol,bruiser,9.39,-8.10,20.39
26,4,patrol,pouncer,2.75,-13.35,23.51
27,1,patrol,swarm,-7.61,-5.86,17.59
27,2,patrol,swarm,-4.35,-8.48,18.99
27,3,patrol,bruiser,9.40,-8.10,20.40
27,4,patrol,pouncer,2.74,-13.32,23.48
28,1,patrol,swarm,-7.63,-5.86,17.60
28,2,patrol,swarm,-4.36,-8.47,18.97
28,3,patrol,bruiser,9.42,-8.10,20.41
28,4,patrol,pouncer,2.73,-13.30,23.46
29,1,patrol,swarm,-7.64,-5.86,17.60
29,2,patrol,swarm,-4.37,-8.45,18.96
29,3,patrol,bruiser,9.43,-8.11,20.41
29,4,patrol,pouncer,2.72,-13.28,23.44
30,1,patrol,swarm,-7.66,-5.85,17.61
30,2,patrol,swarm,-4.38,-8.43,18.95
30,3,patrol,bruiser,9.44,-8.11,20.42
30,4,patrol,pouncer,2.71,-13.26,23.42
31,1,patrol,swarm,-7.68,-5.85,17.61
31,2,patrol,swarm,-4.39,-8.42,18.94
31,3,patrol,bruiser,9.45,-8.11,20.43
31,4,patrol,pouncer,2.70,-13.24,23.40
32,1,patrol,swarm,-7.70,-5.84,17.62
32,2,patrol,swarm,-4.40,-8.40,18.92
32,3,patrol,bruiser,9.46,-8.12,20.44
32,4,patrol,pouncer,2.70,-13.22,23.38
33,1,patrol,swarm,-7.72,-5.84,17.62
33,2,patrol,swarm,-4.41,-8.39,18.91
33,3,patrol,bruiser,9.48,-8.12,20.45
33,4,patrol,pouncer,2.69,-13.20,23.36
34,1,patrol,swarm,-7.74,-5.83,17.62
34,2,patrol,swarm,-4.42,-8.37,18.90
34,3,patrol,bruiser,9.49,-8.12,20.46
34,4,patrol,pouncer,2.68,-13.18,23.33
35,1,patrol,swarm,-7.76,-5.83,17.63
35,2,patrol,swarm,-4.43,-8.35,18.88
35,3,patrol,bruiser,9.50,-8.13,20.47
35,4,patrol,pouncer,2.67,-13.16,23.31
36,1,patrol,swarm,-7.77,-5.83,17.63
36,2,patrol,swarm,-4.44,-8.34,18.87
36,3,patrol,bruiser,9.51,-8.13,20.47
36,4,patrol,pouncer,2.66,-13.14,23.29
37,1,patrol,swarm,-7.79,-5.82,17.64
37,2,patrol,swarm,-4.45,-8.32,18.86
37,3,patrol,bruiser,9.52,-8.13,20.48
37,4,patrol,pouncer,2.66,-13.12,23.27
38,1,patrol,swarm,-7.81,-5.82,17.64
38,2,patrol,swarm,-4.46,-8.31,18.84
38,3,patrol,bruiser,9.54,-8.13,20.49
38,4,patrol,pouncer,2.65,-13.10,23.25
39,1,patrol,swarm,-7.83,-5.81,17.65
39,2,patrol,swarm,-4.47,-8.29,18.83
39,3,patrol,bruiser,9.55,-8.14,20.50
39,4,patrol,pouncer,2.64,-13.08,23.23
40,1,patrol,swarm,-7.85,-5.81,17.65
40,2,patrol,swarm,-4.48,-8.28,18.82
40,3,patrol,bruiser,9.56,-8.14,20.51
40,4,patrol,pouncer,2.63,-13.06,23.21
41,1,patrol,swarm,-7.87,-5.81,17.66
41,2,patrol,swarm,-4.49,-8.26,18.80
41,3,patrol,bruiser,9.57,-8.14,20.52
41,4,patrol,pouncer,2.62,-13.03,23.18
42,1,patrol,swarm,-7.89,-5.80,17.66
42,2,patrol,swarm,-4.50,-8.24,18.79
42,3,patrol,bruiser,9.59,-8.15,20.52
42,4,patrol,pouncer,2.62,-13.01,23.16
43,1,patrol,swarm,-7.90,-5.80,17.66
43,2,patrol,swarm,-4.51,-8.23,18.78
43,3,patrol,bruiser,9.60,-8.15,20.53
43,4,patrol,pouncer,2.61,-12.99,23.14
44,1,patrol,swarm,-7.92,-5.79,17.67
44,2,patrol,swarm,-4.52,-8.21,18.77
44,3,patrol,bruiser,9.61,-8.15,20.54
44,4,patrol,pouncer,2.60,-12.97,23.12
45,1,patrol,swarm,-7.94,-5.79,17.67
45,2,patrol,swarm,-4.53,-8.20,18.75
45,3,patrol,bruiser,9.62,-8.16,20.55
45,4,patrol,pouncer,2.59,-12.95,23.10
46,1,patrol,swarm,-7.96,-5.78,17.68
46,2,patrol,swarm,-4.54,-8.18,18.74
46,3,patrol,bruiser,9.64,-8.16,20.56
46,4,patrol,pouncer,2.58,-12.93,23.08
47,1,patrol,swarm,-7.98,-5.78,17.68
47,2,patrol,swarm,-4.56,-8.17,18.73
47,3,patrol,bruiser,9.65,-8.16,20.57
47,4,patrol,pouncer,2.58,-12.91,23.06
48,1,patrol,swarm,-7.99,-5.78,17.69
48,2,patrol,swarm,-4.57,-8.15,18.72
48,3,patrol,bruiser,9.66,-8.17,20.57
48,4,patrol,pouncer,2.57,-12.89,23.04
49,1,patrol,swarm,-8.01,-5.77,17.69
49,2,patrol,swarm,-4.58,-8.14,18.70
49,3,patrol,bruiser,9.67,-8.17,20.58
49,4,patrol,pouncer,2.56,-12.87,23.02
50,1,patrol,swarm,-8.03,-5.77,17.70
50,2,patrol,swarm,-4.59,-8.12,18.69
50,3,patrol,bruiser,9.68,-8.17,20.59
50,4,patrol,pouncer,2.55,-12.85,22.99
51,1,patrol,swarm,-8.05,-5.76,17.70
51,2,patrol,swarm,-4.60,-8.11,18.68
51,3,patrol,bruiser,9.70,-8.17,20.60
51,4,patrol,pouncer,2.54,-12.83,22.97
52,1,patrol,swarm,-8.07,-5.76,17.71
52,2,patrol,swarm,-4.61,-8.09,18.67
52,3,patrol,bruiser,9.71,-8.18,20.61
52,4,patrol,pouncer,2.54,-12.81,22.95
53,1,patrol,swarm,-8.09,-5.76,17.71
53,2,patrol,swarm,-4.62,-8.07,18.65
53,3,patrol,bruiser,9.72,-8.18,20.62
53,4,patrol,pouncer,2.53,-12.79,22.93
54,1,patrol,swarm,-8.11,-5.75,17.71
54,2,patrol,swarm,-4.63,-8.06,18.64
54,3,patrol,bruiser,9.73,-8.18,20.62
54,4,patrol,pouncer,2.52,-12.77,22.91
55,1,patrol,swarm,-8.12,-5.75,17.72
55,2,patrol,swarm,-4.64,-8.04,18.63
55,3,patrol,bruiser,9.74,-8.19,20.63
55,4,patrol,pouncer,2.51,-12.75,22.89
56,1,patrol,swarm,-8.14,-5.74,17.72
56,2,patrol,swarm,-4.65,-8.03,18.62
56,3,patrol,bruiser,9.76,-8.19,20.64
56,4,patrol,pouncer,2.50,-12.73,22.87
57,1,patrol,swarm,-8.16,-5.74,17.73
57,2,patrol,swarm,-4.66,-8.01,18.60
57,3,patrol,bruiser,9.77,-8.19,20.65
57,4,patrol,pouncer,2.50,-12.71,22.85
58,1,patrol,swarm,-8.18,-5.74,17.73
58,2,patrol,swarm,-4.67,-8.00,18.59
58,3,patrol,bruiser,9.78,-8.20,20.66
58,4,patrol,pouncer,2.49,-12.69,22.82
59,1,patrol,swarm,-8.19,-5.73,17.74
59,2,patrol,swarm,-4.68,-7.98,18.58
59,3,patrol,bruiser,9.79,-8.20,20.66
59,4,patrol,pouncer,2.48,-12.67,22.81
60,1,patrol,swarm,-8.21,-5.73,17.74
60,2,patrol,swarm,-4.69,-7.97,18.57
60,3,patrol,bruiser,9.80,-8.20,20.67
60,4,patrol,pouncer,2.47,-12.65,22.79
61,1,patrol,swarm,-8.23,-5.72,17.75
61,2,patrol,swarm,-4.70,-7.95,18.56
61,3,patrol,bruiser,9.82,-8.20,20.68
61,4,patrol,pouncer,2.47,-12.63,22.76
62,1,patrol,swarm,-8.25,-5.72,17.75
62,2,patrol,swarm,-4.71,-7.93,18.54
62,3,patrol,bruiser,9.83,-8.21,20.69
62,4,patrol,pouncer,2.46,-12.61,22.74
63,1,patrol,swarm,-8.26,-5.72,17.76
63,2,patrol,swarm,-4.72,-7.92,18.53
63,3,patrol,bruiser,9.84,-8.21,20.70
63,4,patrol,pouncer,2.45,-12.59,22.72
64,1,patrol,swarm,-8.29,-5.71,17.76
64,2,patrol,swarm,-4.73,-7.90,18.52
64,3,patrol,bruiser,9.85,-8.21,20.71
64,4,patrol,pouncer,2.44,-12.57,22.70
65,1,patrol,swarm,-8.30,-5.71,17.77
65,2,patrol,swarm,-4.74,-7.89,18.51
65,3,patrol,bruiser,9.86,-8.22,20.71
65,4,patrol,pouncer,2.44,-12.55,22.68
66,1,patrol,swarm,-8.32,-5.70,17.77
66,2,patrol,swarm,-4.75,-7.87,18.49
66,3,patrol,bruiser,9.88,-8.22,20.72
66,4,patrol,pouncer,2.43,-12.53,22.66
67,1,patrol,swarm,-8.34,-5.70,17.78
67,2,patrol,swarm,-4.76,-7.86,18.48
67,3,patrol,bruiser,9.88,-8.22,20.73
67,4,patrol,pouncer,2.42,-12.51,22.64
68,1,patrol,swarm,-8.36,-5.69,17.78
68,2,patrol,swarm,-4.77,-7.84,18.46
68,3,patrol,bruiser,9.90,-8.23,20.74
68,4,patrol,pouncer,2.41,-12.48,22.61
69,1,patrol,swarm,-8.37,-5.69,17.79
69,2,patrol,swarm,-4.78,-7.83,18.46
69,3,patrol,bruiser,9.91,-8.23,20.75
69,4,patrol,pouncer,2.40,-12.47,22.60
70,1,patrol,swarm,-8.39,-5.69,17.79
70,2,patrol,swarm,-4.79,-7.81,18.45
70,3,patrol,bruiser,9.92,-8.23,20.76
70,4,patrol,pouncer,2.39,-12.45,22.58
71,1,patrol,swarm,-8.41,-5.68,17.79
71,2,patrol,swarm,-4.80,-7.80,18.44
71,3,patrol,bruiser,9.93,-8.23,20.76
71,4,patrol,pouncer,2.39,-12.43,22.56
72,1,patrol,swarm,-8.43,-5.68,17.80
72,2,patrol,swarm,-4.81,-7.78,18.42
72,3,patrol,bruiser,9.95,-8.24,20.77
72,4,patrol,pouncer,2.38,-12.41,22.54
73,1,patrol,swarm,-8.44,-5.68,17.80
73,2,patrol,swarm,-4.82,-7.77,18.41
73,3,patrol,bruiser,9.96,-8.24,20.78
73,4,patrol,pouncer,2.37,-12.39,22.52
74,1,patrol,swarm,-8.46,-5.67,17.81
74,2,patrol,swarm,-4.83,-7.76,18.40
74,3,patrol,bruiser,9.97,-8.24,20.79
74,4,patrol,pouncer,2.37,-12.37,22.50
75,1,patrol,swarm,-8.48,-5.67,17.81
75,2,patrol,swarm,-4.84,-7.74,18.39
75,3,patrol,bruiser,9.98,-8.25,20.80
75,4,patrol,pouncer,2.36,-12.36,22.48
76,1,patrol,swarm,-8.50,-5.66,17.82
76,2,patrol,swarm,-4.85,-7.72,18.38
76,3,patrol,bruiser,9.99,-8.25,20.80
76,4,patrol,pouncer,2.35,-12.33,22.46
77,1,patrol,swarm,-8.51,-5.66,17.82
77,2,patrol,swarm,-4.86,-7.71,18.36
77,3,patrol,bruiser,10.00,-8.25,20.81
77,4,patrol,pouncer,2.34,-12.32,22.44
78,1,patrol,swarm,-8.53,-5.66,17.83
78,2,patrol,swarm,-4.87,-7.69,18.35
78,3,patrol,bruiser,10.02,-8.25,20.82
78,4,patrol,pouncer,2.33,-12.29,22.41
79,1,patrol,swarm,-8.55,-5.65,17.83
79,2,patrol,swarm,-4.88,-7.68,18.34
79,3,patrol,bruiser,10.03,-8.26,20.83
79,4,patrol,pouncer,2.33,-12.28,22.40
80,1,patrol,swarm,-8.57,-5.65,17.84
80,2,patrol,swarm,-4.89,-7.66,18.33
80,3,patrol,bruiser,10.04,-8.26,20.84
80,4,patrol,pouncer,2.32,-12.26,22.38
81,1,patrol,swarm,-8.58,-5.64,17.84
81,2,patrol,swarm,-4.90,-7.65,18.32
81,3,patrol,bruiser,10.05,-8.26,20.84
81,4,patrol,pouncer,2.31,-12.24,22.36
82,1,patrol,swarm,-8.60,-5.64,17.85
82,2,patrol,swarm,-4.91,-7.63,18.31
82,3,patrol,bruiser,10.06,-8.27,20.85
82,4,patrol,pouncer,2.30,-12.22,22.34
83,1,patrol,swarm,-8.62,-5.64,17.85
83,2,patrol,swarm,-4.92,-7.62,18.29
83,3,patrol,bruiser,10.07,-8.27,20.86
83,4,patrol,pouncer,2.30,-12.20,22.32
84,1,patrol,swarm,-8.64,-5.63,17.86
84,2,patrol,swarm,-4.93,-7.60,18.28
84,3,patrol,bruiser,10.09,-8.27,20.87
84,4,patrol,pouncer,2.29,-12.17,22.29
85,1,patrol,swarm,-8.65,-5.63,17.86
85,2,patrol,swarm,-4.94,-7.59,18.27
85,3,patrol,bruiser,10.09,-8.27,20.88
85,4,patrol,pouncer,2.28,-12.16,22.28
86,1,patrol,swarm,-8.68,-5.62,17.87
86,2,patrol,swarm,-4.95,-7.57,18.25
86,3,patrol,bruiser,10.11,-8.28,20.89
86,4,patrol,pouncer,2.27,-12.13,22.25
87,1,patrol,swarm,-8.69,-5.62,17.87
87,2,patrol,swarm,-4.96,-7.56,18.25
87,3,patrol,bruiser,10.12,-8.28,20.89
87,4,patrol,pouncer,2.27,-12.12,22.24
88,1,patrol,swarm,-8.71,-5.62,17.88
88,2,patrol,swarm,-4.97,-7.54,18.23
88,3,patrol,bruiser,10.13,-8.28,20.90
88,4,patrol,pouncer,2.26,-12.10,22.21
89,1,patrol,swarm,-8.72,-5.61,17.88
89,2,patrol,swarm,-4.98,-7.53,18.23
89,3,patrol,bruiser,10.14,-8.29,20.91
89,4,patrol,pouncer,2.25,-12.08,22.20
90,1,patrol,swarm,-8.75,-5.61,17.89
90,2,patrol,swarm,-4.99,-7.51,18.21
90,3,patrol,bruiser,10.16,-8.29,20.92
90,4,patrol,pouncer,2.24,-12.05,22.17
91,1,patrol,swarm,-8.76,-5.61,17.89
91,2,patrol,swarm,-5.00,-7.50,18.20
91,3,patrol,bruiser,10.16,-8.29,20.93
91,4,patrol,pouncer,2.24,-12.04,22.16
92,1,patrol,swarm,-8.77,-5.60,17.90
92,2,patrol,swarm,-5.01,-7.49,18.19
92,3,patrol,bruiser,10.18,-8.29,20.93
92,4,patrol,pouncer,2.23,-12.02,22.14
93,1,patrol,swarm,-8.79,-5.60,17.90
93,2,patrol,swarm,-5.02,-7.47,18.18
93,3,patrol,bruiser,10.19,-8.30,20.94
93,4,patrol,pouncer,2.22,-12.01,22.12
94,1,patrol,swarm,-8.81,-5.59,17.91
94,2,patrol,swarm,-5.03,-7.46,18.17
94,3,patrol,bruiser,10.20,-8.30,20.95
94,4,patrol,pouncer,2.21,-11.99,22.10
95,1,patrol,swarm,-8.82,-5.59,17.91
95,2,patrol,swarm,-5.04,-7.44,18.16
95,3,patrol,bruiser,10.21,-8.30,20.96
95,4,patrol,pouncer,2.21,-11.97,22.08
96,1,patrol,swarm,-8.85,-5.59,17.92
96,2,patrol,swarm,-5.05,-7.42,18.14
96,3,patrol,bruiser,10.22,-8.31,20.97
96,4,patrol,pouncer,2.20,-11.94,22.05
97,1,patrol,swarm,-8.86,-5.58,17.92
97,2,patrol,swarm,-5.06,-7.41,18.13
97,3,patrol,bruiser,10.23,-8.31,20.97
97,4,patrol,pouncer,2.19,-11.93,22.04
98,1,patrol,swarm,-8.88,-5.58,17.93
98,2,patrol,swarm,-5.07,-7.39,18.12
98,3,patrol,bruiser,10.25,-8.31,20.99
98,4,patrol,pouncer,2.18,-11.90,22.01
99,1,patrol,swarm,-8.89,-5.58,17.93
99,2,patrol,swarm,-5.08,-7.39,18.11
99,3,patrol,bruiser,10.25,-8.31,20.99
99,4,patrol,pouncer,2.18,-11.89,22.00
100,1,patrol,swarm,-9.15,-5.52,18.01
100,2,patrol,swarm,-5.22,-7.17,17.94
100,3,patrol,bruiser,10.42,-8.36,21.11
100,4,patrol,pouncer,2.07,-11.61,21.71
101,1,patrol,swarm,-9.15,-5.52,18.01
101,2,patrol,swarm,-5.22,-7.17,17.95
101,3,patrol,bruiser,10.43,-8.36,21.11
101,4,patrol,pouncer,2.07,-11.60,21.70
102,1,patrol,swarm,-9.18,-5.51,17.95
102,2,patrol,swarm,-5.19,-7.19,17.87
102,3,patrol,bruiser,10.44,-8.36,21.04
102,4,patrol,pouncer,2.06,-11.58,21.58
103,1,patrol,swarm,-9.18,-5.51,17.94
103,2,patrol,swarm,-5.19,-7.19,17.86
103,3,patrol,bruiser,10.44,-8.36,21.02
103,4,patrol,pouncer,2.05,-11.57,21.56
104,1,patrol,swarm,-9.20,-5.51,17.88
104,2,patrol,swarm,-5.17,-7.21,17.80
104,3,patrol,bruiser,10.46,-8.37,20.96
104,4,patrol,pouncer,2.04,-11.55,21.46
105,1,patrol,swarm,-9.22,-5.50,17.83
105,2,patrol,swarm,-5.15,-7.22,17.73
105,3,patrol,bruiser,10.45,-8.35,20.87
105,4,patrol,pouncer,2.04,-11.53,21.36
106,1,patrol,swarm,-9.23,-5.50,17.82
106,2,patrol,swarm,-5.14,-7.22,17.72
106,3,patrol,bruiser,10.45,-8.35,20.85
106,4,patrol,pouncer,2.03,-11.52,21.33
107,1,patrol,swarm,-9.25,-5.50,17.76
107,2,patrol,swarm,-5.12,-7.24,17.65
107,3,patrol,bruiser,10.45,-8.33,20.76
107,4,patrol,pouncer,2.02,-11.50,21.23
108,1,patrol,swarm,-9.25,-5.49,17.75
108,2,patrol,swarm,-5.12,-7.24,17.64
108,3,patrol,bruiser,10.45,-8.33,20.74
108,4,patrol,pouncer,2.02,-11.49,21.21
109,1,patrol,swarm,-9.27,-5.49,17.69
109,2,patrol,swarm,-5.10,-7.26,17.57
109,3,patrol,bruiser,10.44,-8.31,20.64
109,4,patrol,pouncer,2.01,-11.47,21.09
110,1,patrol,swarm,-9.28,-5.49,17.68
110,2,patrol,swarm,-5.09,-7.26,17.55
110,3,patrol,bruiser,10.44,-8.30,20.62
110,4,patrol,pouncer,2.01,-11.46,21.06
111,1,patrol,swarm,-9.31,-5.48,17.60
111,2,patrol,swarm,-5.06,-7.28,17.47
111,3,patrol,bruiser,10.44,-8.28,20.49
111,4,patrol,pouncer,2.00,-11.43,20.92
112,1,patrol,swarm,-9.31,-5.48,17.59
112,2,patrol,swarm,-5.06,-7.29,17.45
112,3,patrol,bruiser,10.44,-8.28,20.47
112,4,patrol,pouncer,2.00,-11.42,20.90
113,1,patrol,swarm,-9.34,-5.47,17.52
113,2,patrol,swarm,-5.03,-7.31,17.36
113,3,patrol,bruiser,10.43,-8.26,20.35
113,4,patrol,pouncer,1.98,-11.39,20.76
114,1,patrol,swarm,-9.35,-5.47,17.50
114,2,patrol,swarm,-5.03,-7.31,17.35
114,3,patrol,bruiser,10.43,-8.25,20.32
114,4,patrol,pouncer,1.98,-11.39,20.73
115,1,patrol,swarm,-9.37,-5.47,17.45
115,2,patrol,swarm,-5.01,-7.33,17.29
115,3,patrol,bruiser,10.42,-8.24,20.24
115,4,patrol,pouncer,1.97,-11.36,20.63
116,1,patrol,swarm,-9.37,-5.47,17.43
116,2,patrol,swarm,-5.00,-7.33,17.26
116,3,patrol,bruiser,10.42,-8.23,20.21
116,4,patrol,pouncer,1.97,-11.36,20.59
117,1,patrol,swarm,-9.40,-5.46,17.37
117,2,patrol,swarm,-4.97,-7.35,17.18
117,3,patrol,bruiser,10.42,-8.21,20.09
117,4,patrol,pouncer,1.96,-11.33,20.46
118,1,patrol,swarm,-9.41,-5.46,17.35
118,2,patrol,swarm,-4.97,-7.35,17.16
118,3,patrol,bruiser,10.42,-8.20,20.07
118,4,patrol,pouncer,1.95,-11.32,20.43
119,1,patrol,swarm,-9.44,-5.45,17.28
119,2,patrol,swarm,-4.94,-7.38,17.07
119,3,patrol,bruiser,10.41,-8.18,19.94
119,4,patrol,pouncer,1.94,-11.29,20.28
120,1,patrol,swarm,-9.44,-5.45,17.26
120,2,patrol,swarm,-4.93,-7.38,17.05
120,3,patrol,bruiser,10.41,-8.18,19.91
120,4,patrol,pouncer,1.94,-11.28,20.25
121,1,patrol,swarm,-9.46,-5.45,17.21
121,2,patrol,swarm,-4.91,-7.40,16.99
121,3,patrol,bruiser,10.40,-8.16,19.83
121,4,patrol,pouncer,1.93,-11.26,20.16
122,1,patrol,swarm,-9.47,-5.45,17.20
122,2,patrol,swarm,-4.91,-7.40,16.98
122,3,patrol,bruiser,10.40,-8.16,19.81
122,4,patrol,pouncer,1.93,-11.25,20.13
123,1,patrol,swarm,-9.49,-5.44,17.15
123,2,patrol,swarm,-4.89,-7.41,16.92
123,3,patrol,bruiser,10.40,-8.14,19.72
123,4,patrol,pouncer,1.92,-11.23,20.03
124,1,patrol,swarm,-9.49,-5.44,17.14
124,2,patrol,swarm,-4.88,-7.42,16.90
124,3,patrol,bruiser,10.40,-8.14,19.70
124,4,patrol,pouncer,1.92,-11.23,20.01
125,1,patrol,swarm,-9.52,-5.43,17.07
125,2,patrol,swarm,-4.85,-7.44,16.81
125,3,patrol,bruiser,10.39,-8.11,19.57
125,4,patrol,pouncer,1.91,-11.19,19.86
126,1,patrol,swarm,-9.53,-5.43,17.05
126,2,patrol,swarm,-4.85,-7.44,16.79
126,3,patrol,bruiser,10.39,-8.11,19.55
126,4,patrol,pouncer,1.90,-11.19,19.83
127,1,patrol,swarm,-9.56,-5.43,16.97
127,2,patrol,swarm,-4.82,-7.47,16.69
127,3,patrol,bruiser,10.38,-8.08,19.41
127,4,patrol,pouncer,1.89,-11.15,19.67
128,1,patrol,swarm,-9.56,-5.42,16.96
128,2,patrol,swarm,-4.81,-7.47,16.68
128,3,patrol,bruiser,10.38,-8.08,19.39
128,4,patrol,pouncer,1.89,-11.15,19.65
