frame,enemy,state,archetype,x,z,dist
1,1,patrol,swarm,-7.00,-6.00,17.46
1,2,patrol,swarm,-4.00,-9.00,19.42
1,3,patrol,bruiser,9.00,-8.00,20.12
1,4,patrol,pouncer,3.00,-14.00,24.19
2,1,patrol,swarm,-7.04,-5.99,17.47
2,2,patrol,swarm,-4.02,-8.97,19.39
2,3,patrol,bruiser,9.02,-8.01,20.14
2,4,patrol,pouncer,2.98,-13.96,24.15
3,1,patrol,swarm,-7.27,-5.94,17.52
3,2,patrol,swarm,-4.15,-8.77,19.22
3,3,patrol,bruiser,9.18,-8.05,20.25
3,4,patrol,pouncer,2.88,-13.70,23.87
4,1,patrol,swarm,-7.29,-5.93,17.52
4,2,patrol,swarm,-4.17,-8.75,19.21
4,3,patrol,bruiser,9.19,-8.05,20.25
4,4,patrol,pouncer,2.87,-13.68,23.85
5,1,patrol,swarm,-7.30,-5.93,17.53
5,2,patrol,swarm,-4.17,-8.74,19.20
5,3,patrol,bruiser,9.20,-8.05,20.26
5,4,patrol,pouncer,2.87,-13.67,23.84
6,1,patrol,swarm,-7.30,-5.93,17.53
6,2,patrol,swarm,-4.17,-8.74,19.20
6,3,patrol,bruiser,9.20,-8.05,20.26
6,4,patrol,pouncer,2.87,-13.66,23.83
7,1,patrol,swarm,-7.32,-5.93,17.53
7,2,patrol,swarm,-4.18,-8.73,19.19
7,3,patrol,bruiser,9.21,-8.05,20.27
7,4,patrol,pouncer,2.86,-13.65,23.82
8,1,patrol,swarm,-7.32,-5.93,17.53
8,2,patrol,swarm,-4.18,-8.72,19.18
8,3,patrol,bruiser,9.22,-8.05,20.27
8,4,patrol,pouncer,2.86,-13.64,23.81
9,1,patrol,swarm,-7.33,-5.93,17.53
9,2,patrol,swarm,-4.19,-8.72,19.18
9,3,patrol,bruiser,9.22,-8.05,20.27
9,4,patrol,pouncer,2.86,-13.63,23.80
10,1,patrol,swarm,-7.34,-5.92,17.53
10,2,patrol,swarm,-4.20,-8.71,19.17
10,3,patrol,bruiser,9.23,-8.06,20.28
10,4,patrol,pouncer,2.85,-13.62,23.79
11,1,patrol,swarm,-7.36,-5.92,17.54
11,2,patrol,swarm,-4.20,-8.70,19.16
11,3,patrol,bruiser,9.24,-8.06,20.28
11,4,patrol,pouncer,2.84,-13.60,23.77
12,1,patrol,swarm,-7.38,-5.92,17.54
12,2,patrol,swarm,-4.21,-8.68,19.15
12,3,patrol,bruiser,9.25,-8.06,20.29
12,4,patrol,pouncer,2.84,-13.58,23.75
13,1,patrol,swarm,-7.39,-5.91,17.55
13,2,patrol,swarm,-4.22,-8.66,19.14
13,3,patrol,bruiser,9.26,-8.07,20.30
13,4,patrol,pouncer,2.83,-13.56,23.73
14,1,patrol,swarm,-7.41,-5.91,17.55
14,2,patrol,swarm,-4.24,-8.65,19.12
14,3,patrol,bruiser,9.27,-8.07,20.31
14,4,patrol,pouncer,2.82,-13.54,23.71
15,1,patrol,swarm,-7.43,-5.90,17.55
15,2,patrol,swarm,-4.25,-8.63,19.11
15,3,patrol,bruiser,9.29,-8.07,20.32
15,4,patrol,pouncer,2.81,-13.52,23.69
16,1,patrol,swarm,-7.45,-5.90,17.56
16,2,patrol,swarm,-4.26,-8.62,19.10
16,3,patrol,bruiser,9.30,-8.07,20.33
16,4,patrol,pouncer,2.80,-13.50,23.66
17,1,patrol,swarm,-7.47,-5.89,17.56
17,2,patrol,swarm,-4.27,-8.60,19.08
17,3,patrol,bruiser,9.31,-8.08,20.34
17,4,patrol,pouncer,2.80,-13.48,23.64
18,1,patrol,swarm,-7.49,-5.89,17.57
18,2,patrol,swarm,-4.28,-8.58,19.07
18,3,patrol,bruiser,9.32,-8.08,20.34
18,4,patrol,pouncer,2.79,-13.45,23.62
19,1,patrol,swarm,-7.51,-5.89,17.57
19,2,patrol,swarm,-4.29,-8.57,19.06
19,3,patrol,bruiser,9.34,-8.08,20.35
19,4,patrol,pouncer,2.78,-13.43,23.60
20,1,patrol,swarm,-7.53,-5.88,17.57
20,2,patrol,swarm,-4.30,-8.55,19.04
20,3,patrol,bruiser,9.35,-8.09,20.36
20,4,patrol,pouncer,2.77,-13.41,23.58
21,1,patrol,swarm,-7.55,-5.88,17.58
21,2,patrol,swarm,-4.31,-8.53,19.03
21,3,patrol,bruiser,9.36,-8.09,20.37
21,4,patrol,pouncer,2.76,-13.39,23.55
22,1,patrol,swarm,-7.56,-5.87,17.58
22,2,patrol,swarm,-4.32,-8.52,19.02
22,3,patrol,bruiser,9.37,-8.09,20.38
22,4,patrol,pouncer,2.75,-13.37,23.53
23,1,patrol,swarm,-7.58,-5.87,17.59
23,2,patrol,swarm,-4.33,-8.50,19.00
23,3,patrol,bruiser,9.39,-8.10,20.39
23,4,patrol,pouncer,2.75,-13.35,23.51
24,1,patrol,swarm,-7.60,-5.86,17.59
24,2,patrol,swarm,-4.34,-8.48,18.99
24,3,patrol,bruiser,9.40,-8.10,20.40
24,4,patrol,pouncer,2.74,-13.33,23.49
25,1,patrol,swarm,-7.62,-5.86,17.60
25,2,patrol,swarm,-4.35,-8.47,18.98
25,3,patrol,bruiser,9.41,-8.10,20.40
25,4,patrol,pouncer,2.73,-13.31,23.47
26,1,patrol,swarm,-7.64,-5.86,17.60
26,2,patrol,swarm,-4.36,-8.45,18.96
26,3,patrol,bruiser,9.42,-8.11,20.41
26,4,patrol,pouncer,2.72,-13.29,23.45
27,1,patrol,swarm,-7.66,-5.85,17.61
27,2,patrol,swarm,-4.38,-8.44,18.95
27,3,patrol,bruiser,9.44,-8.11,20.42
27,4,patrol,pouncer,2.71,-13.26,23.42
28,1,patrol,swarm,-7.68,-5.85,17.61
28,2,patrol,swarm,-4.39,-8.42,18.94
28,3,patrol,bruiser,9.45,-8.11,20.43
28,4,patrol,pouncer,2.71,-13.24,23.40
29,1,patrol,swarm,-7.70,-5.84,17.62
29,2,patrol,swarm,-4.40,-8.40,18.92
29,3,patrol,bruiser,9.47,-8.12,20.44
29,4,patrol,pouncer,2.69,-13.22,23.37
30,1,patrol,swarm,-7.71,-5.84,17.62
30,2,patrol,swarm,-4.41,-8.39,18.91
30,3,patrol,bruiser,9.47,-8.12,20.45
30,4,patrol,pouncer,2.69,-13.20,23.36
31,1,patrol,swarm,-7.74,-5.83,17.62
31,2,patrol,swarm,-4.42,-8.37,18.90
31,3,patrol,bruiser,9.49,-8.12,20.46
31,4,patrol,pouncer,2.68,-13.18,23.34
32,1,patrol,swarm,-7.75,-5.83,17.63
32,2,patrol,swarm,-4.43,-8.36,18.88
32,3,patrol,bruiser,9.50,-8.13,20.46
32,4,patrol,pouncer,2.67,-13.16,23.32
33,1,patrol,swarm,-7.77,-5.83,17.63
33,2,patrol,swarm,-4.44,-8.34,18.87
33,3,patrol,bruiser,9.51,-8.13,20.47
33,4,patrol,pouncer,2.66,-13.14,23.29
34,1,patrol,swarm,-7.79,-5.82,17.64
34,2,patrol,swarm,-4.45,-8.33,18.86
34,3,patrol,bruiser,9.52,-8.13,20.48
34,4,patrol,pouncer,2.66,-13.12,23.27
35,1,patrol,swarm,-7.81,-5.82,17.64
35,2,patrol,swarm,-4.46,-8.31,18.85
35,3,patrol,bruiser,9.53,-8.13,20.49
35,4,patrol,pouncer,2.65,-13.10,23.25
36,1,patrol,swarm,-7.83,-5.81,17.65
36,2,patrol,swarm,-4.47,-8.29,18.83
36,3,patrol,bruiser,9.55,-8.14,20.50
36,4,patrol,pouncer,2.64,-13.08,23.23
37,1,patrol,swarm,-7.84,-5.81,17.65
37,2,patrol,swarm,-4.48,-8.28,18.82
37,3,patrol,bruiser,9.56,-8.14,20.51
37,4,patrol,pouncer,2.63,-13.06,23.21
38,1,patrol,swarm,-7.86,-5.81,17.65
38,2,patrol,swarm,-4.49,-8.26,18.81
38,3,patrol,bruiser,9.57,-8.14,20.51
38,4,patrol,pouncer,2.62,-13.04,23.19
39,1,patrol,swarm,-7.88,-5.80,17.66
39,2,patrol,swarm,-4.50,-8.25,18.79
39,3,patrol,bruiser,9.59,-8.15,20.52
39,4,patrol,pouncer,2.62,-13.02,23.16
40,1,patrol,swarm,-7.90,-5.80,17.66
40,2,patrol,swarm,-4.51,-8.23,18.78
40,3,patrol,bruiser,9.60,-8.15,20.53
40,4,patrol,pouncer,2.61,-12.99,23.14
41,1,patrol,swarm,-7.92,-5.79,17.67
41,2,patrol,swarm,-4.52,-8.21,18.77
41,3,patrol,bruiser,9.61,-8.15,20.54
41,4,patrol,pouncer,2.60,-12.97,23.12
42,1,patrol,swarm,-7.94,-5.79,17.67
42,2,patrol,swarm,-4.53,-8.20,18.76
42,3,patrol,bruiser,9.62,-8.16,20.55
42,4,patrol,pouncer,2.59,-12.96,23.10
43,1,patrol,swarm,-7.96,-5.79,17.68
43,2,patrol,swarm,-4.54,-8.18,18.74
43,3,patrol,bruiser,9.63,-8.16,20.56
43,4,patrol,pouncer,2.58,-12.93,23.08
44,1,patrol,swarm,-7.97,-5.78,17.68
44,2,patrol,swarm,-4.55,-8.17,18.73
44,3,patrol,bruiser,9.65,-8.16,20.56
44,4,patrol,pouncer,2.58,-12.92,23.06
45,1,patrol,swarm,-7.99,-5.78,17.69
45,2,patrol,swarm,-4.56,-8.15,18.72
45,3,patrol,bruiser,9.66,-8.16,20.57
45,4,patrol,pouncer,2.57,-12.90,23.04
46,1,patrol,swarm,-8.01,-5.77,17.69
46,2,patrol,swarm,-4.57,-8.14,18.71
46,3,patrol,bruiser,9.67,-8.17,20.58
46,4,patrol,pouncer,2.56,-12.88,23.02
47,1,patrol,swarm,-8.03,-5.77,17.70
47,2,patrol,swarm,-4.58,-8.12,18.69
47,3,patrol,bruiser,9.68,-8.17,20.59
47,4,patrol,pouncer,2.55,-12.86,23.00
48,1,patrol,swarm,-8.05,-5.77,17.70
48,2,patrol,swarm,-4.59,-8.11,18.68
48,3,patrol,bruiser,9.69,-8.17,20.60
48,4,patrol,pouncer,2.55,-12.83,22.98
49,1,patrol,swarm,-8.07,-5.76,17.70
49,2,patrol,swarm,-4.61,-8.09,18.67
49,3,patrol,bruiser,9.71,-8.18,20.61
49,4,patrol,pouncer,2.54,-12.81,22.95
50,1,patrol,swarm,-8.08,-5.76,17.71
50,2,patrol,swarm,-4.62,-8.08,18.66
50,3,patrol,bruiser,9.72,-8.18,20.61
50,4,patrol,pouncer,2.53,-12.79,22.93
51,1,patrol,swarm,-8.10,-5.75,17.71
51,2,patrol,swarm,-4.63,-8.06,18.64
51,3,patrol,bruiser,9.73,-8.18,20.62
51,4,patrol,pouncer,2.52,-12.77,22.91
52,1,patrol,swarm,-8.12,-5.75,17.72
52,2,patrol,swarm,-4.64,-8.05,18.63
52,3,patrol,bruiser,9.74,-8.19,20.63
52,4,patrol,pouncer,2.51,-12.75,22.89
53,1,patrol,swarm,-8.14,-5.74,17.72
53,2,patrol,swarm,-4.65,-8.03,18.62
53,3,patrol,bruiser,9.75,-8.19,20.64
53,4,patrol,pouncer,2.51,-12.73,22.87
54,1,patrol,swarm,-8.16,-5.74,17.73
54,2,patrol,swarm,-4.66,-8.01,18.61
54,3,patrol,bruiser,9.77,-8.19,20.65
54,4,patrol,pouncer,2.50,-12.71,22.85
55,1,patrol,swarm,-8.17,-5.74,17.73
55,2,patrol,swarm,-4.67,-8.00,18.59
55,3,patrol,bruiser,9.78,-8.19,20.66
55,4,patrol,pouncer,2.49,-12.69,22.83
56,1,patrol,swarm,-8.19,-5.73,17.74
56,2,patrol,swarm,-4.68,-7.99,18.58
56,3,patrol,bruiser,9.79,-8.20,20.66
56,4,patrol,pouncer,2.48,-12.67,22.81
57,1,patrol,swarm,-8.21,-5.73,17.74
57,2,patrol,swarm,-4.69,-7.97,18.57
57,3,patrol,bruiser,9.80,-8.20,20.67
57,4,patrol,pouncer,2.47,-12.65,22.79
58,1,patrol,swarm,-8.23,-5.72,17.75
58,2,patrol,swarm,-4.70,-7.95,18.56
58,3,patrol,bruiser,9.81,-8.20,20.68
58,4,patrol,pouncer,2.47,-12.63,22.77
59,1,patrol,swarm,-8.25,-5.72,17.75
59,2,patrol,swarm,-4.71,-7.94,18.54
59,3,patrol,bruiser,9.83,-8.21,20.69
59,4,patrol,pouncer,2.46,-12.61,22.75
60,1,patrol,swarm,-8.26,-5.72,17.76
60,2,patrol,swarm,-4.72,-7.92,18.53
60,3,patrol,bruiser,9.84,-8.21,20.70
60,4,patrol,pouncer,2.45,-12.59,22.73
61,1,patrol,swarm,-8.28,-5.71,17.76
61,2,patrol,swarm,-4.73,-7.91,18.52
61,3,patrol,bruiser,9.85,-8.21,20.71
61,4,patrol,pouncer,2.44,-12.57,22.71
62,1,patrol,swarm,-8.30,-5.71,17.77
62,2,patrol,swarm,-4.74,-7.89,18.51
62,3,patrol,bruiser,9.86,-8.22,20.71
62,4,patrol,pouncer,2.44,-12.55,22.69
63,1,patrol,swarm,-8.32,-5.70,17.77
63,2,patrol,swarm,-4.75,-7.88,18.50
63,3,patrol,bruiser,9.87,-8.22,20.72
63,4,patrol,pouncer,2.43,-12.53,22.66
64,1,patrol,swarm,-8.33,-5.70,17.78
64,2,patrol,swarm,-4.76,-7.86,18.49
64,3,patrol,bruiser,9.88,-8.22,20.73
64,4,patrol,pouncer,2.42,-12.51,22.64
65,1,patrol,swarm,-8.35,-5.70,17.78
65,2,patrol,swarm,-4.77,-7.85,18.47
65,3,patrol,bruiser,9.90,-8.23,20.74
65,4,patrol,pouncer,2.41,-12.49,22.62
66,1,patrol,swarm,-8.38,-5.69,17.79
66,2,patrol,swarm,-4.78,-7.82,18.46
66,3,patrol,bruiser,9.91,-8.23,20.75
66,4,patrol,pouncer,2.40,-12.46,22.59
67,1,patrol,swarm,-8.39,-5.69,17.79
67,2,patrol,swarm,-4.79,-7.82,18.45
67,3,patrol,bruiser,9.92,-8.23,20.75
67,4,patrol,pouncer,2.40,-12.45,22.58
68,1,patrol,swarm,-8.43,-5.68,17.80
68,2,patrol,swarm,-4.81,-7.78,18.42
68,3,patrol,bruiser,9.95,-8.24,20.77
68,4,patrol,pouncer,2.38,-12.41,22.53
69,1,patrol,swarm,-8.44,-5.68,17.80
69,2,patrol,swarm,-4.82,-7.77,18.42
69,3,patrol,bruiser,9.95,-8.24,20.78
69,4,patrol,pouncer,2.38,-12.40,22.52
70,1,patrol,swarm,-8.49,-5.66,17.82
70,2,patrol,swarm,-4.85,-7.73,18.38
70,3,patrol,bruiser,9.99,-8.25,20.80
70,4,patrol,pouncer,2.35,-12.34,22.46
71,1,patrol,swarm,-8.50,-5.66,17.82
71,2,patrol,swarm,-4.85,-7.72,18.37
71,3,patrol,bruiser,9.99,-8.25,20.81
71,4,patrol,pouncer,2.35,-12.33,22.45
72,1,patrol,swarm,-8.53,-5.66,17.83
72,2,patrol,swarm,-4.87,-7.69,18.35
72,3,patrol,bruiser,10.01,-8.25,20.82
72,4,patrol,pouncer,2.33,-12.29,22.42
73,1,patrol,swarm,-8.58,-5.64,17.84
73,2,patrol,swarm,-4.90,-7.65,18.32
73,3,patrol,bruiser,10.05,-8.26,20.84
73,4,patrol,pouncer,2.31,-12.24,22.36
74,1,patrol,swarm,-8.59,-5.64,17.85
74,2,patrol,swarm,-4.90,-7.64,18.31
74,3,patrol,bruiser,10.05,-8.26,20.85
74,4,patrol,pouncer,2.31,-12.23,22.35
75,1,patrol,swarm,-8.63,-5.63,17.86
75,2,patrol,swarm,-4.92,-7.61,18.29
75,3,patrol,bruiser,10.08,-8.27,20.87
75,4,patrol,pouncer,2.29,-12.19,22.31
76,1,patrol,swarm,-8.64,-5.63,17.86
76,2,patrol,swarm,-4.93,-7.60,18.28
76,3,patrol,bruiser,10.09,-8.27,20.87
76,4,patrol,pouncer,2.29,-12.18,22.29
77,1,patrol,swarm,-8.68,-5.62,17.87
77,2,patrol,swarm,-4.95,-7.57,18.26
77,3,patrol,bruiser,10.11,-8.28,20.89
77,4,patrol,pouncer,2.27,-12.13,22.25
78,1,patrol,swarm,-8.68,-5.62,17.87
78,2,patrol,swarm,-4.96,-7.56,18.25
78,3,patrol,bruiser,10.12,-8.28,20.89
78,4,patrol,pouncer,2.27,-12.12,22.24
79,1,patrol,swarm,-8.75,-5.61,17.89
79,2,patrol,swarm,-5.00,-7.51,18.20
79,3,patrol,bruiser,10.16,-8.29,20.92
79,4,patrol,pouncer,2.24,-12.05,22.16
80,1,patrol,swarm,-8.76,-5.61,17.90
80,2,patrol,swarm,-5.00,-7.50,18.20
80,3,patrol,bruiser,10.17,-8.29,20.93
80,4,patrol,pouncer,2.24,-12.04,22.15
81,1,patrol,swarm,-9.02,-5.55,17.97
81,2,patrol,swarm,-5.15,-7.28,18.03
81,3,patrol,bruiser,10.34,-8.34,21.05
81,4,patrol,pouncer,2.12,-11.75,21.86
82,1,patrol,swarm,-9.03,-5.55,17.98
82,2,patrol,swarm,-5.15,-7.27,18.02
82,3,patrol,bruiser,10.34,-8.34,21.05
82,4,patrol,pouncer,2.12,-11.74,21.85
83,1,patrol,swarm,-9.07,-5.54,17.99
83,2,patrol,swarm,-5.17,-7.24,18.00
83,3,patrol,bruiser,10.37,-8.34,21.07
83,4,patrol,pouncer,2.10,-11.70,21.80
84,1,patrol,swarm,-9.07,-5.53,17.99
84,2,patrol,swarm,-5.18,-7.23,17.99
84,3,patrol,bruiser,10.37,-8.34,21.07
84,4,patrol,pouncer,2.10,-11.69,21.79
85,1,patrol,swarm,-9.17,-5.51,17.74
85,2,patrol,swarm,-5.23,-7.15,17.60
85,3,patrol,bruiser,10.44,-8.36,20.78
85,4,patrol,pouncer,2.06,-11.58,21.31
86,1,patrol,swarm,-9.18,-5.51,17.71
86,2,patrol,swarm,-5.23,-7.15,17.57
86,3,patrol,bruiser,10.44,-8.36,20.75
86,4,patrol,pouncer,2.05,-11.57,21.27
87,1,patrol,swarm,-9.22,-5.50,17.61
87,2,patrol,swarm,-5.19,-7.18,17.45
87,3,patrol,bruiser,10.47,-8.37,20.63
87,4,patrol,pouncer,2.04,-11.53,21.08
88,1,patrol,swarm,-9.23,-5.50,17.59
88,2,patrol,swarm,-5.18,-7.19,17.43
88,3,patrol,bruiser,10.47,-8.36,20.60
88,4,patrol,pouncer,2.03,-11.52,21.04
89,1,patrol,swarm,-9.26,-5.49,17.50
89,2,patrol,swarm,-5.14,-7.21,17.31
89,3,patrol,bruiser,10.46,-8.33,20.44
89,4,patrol,pouncer,2.02,-11.48,20.85
90,1,patrol,swarm,-9.27,-5.49,17.48
90,2,patrol,swarm,-5.14,-7.22,17.29
90,3,patrol,bruiser,10.46,-8.33,20.41
90,4,patrol,pouncer,2.01,-11.47,20.82
91,1,patrol,swarm,-9.29,-5.49,17.42
91,2,patrol,swarm,-5.12,-7.24,17.23
91,3,patrol,bruiser,10.46,-8.31,20.32
91,4,patrol,pouncer,2.00,-11.45,20.71
92,1,patrol,swarm,-9.30,-5.48,17.40
92,2,patrol,swarm,-5.11,-7.24,17.20
92,3,patrol,bruiser,10.45,-8.31,20.28
92,4,patrol,pouncer,2.00,-11.44,20.67
93,1,patrol,swarm,-9.33,-5.48,17.33
93,2,patrol,swarm,-5.08,-7.26,17.12
93,3,patrol,bruiser,10.45,-8.28,20.16
93,4,patrol,pouncer,1.99,-11.41,20.53
94,1,patrol,swarm,-9.33,-5.48,17.32
94,2,patrol,swarm,-5.07,-7.27,17.10
94,3,patrol,bruiser,10.45,-8.28,20.13
94,4,patrol,pouncer,1.99,-11.40,20.50
95,1,patrol,swarm,-9.38,-5.47,17.21
95,2,patrol,swarm,-5.03,-7.30,16.97
95,3,patrol,bruiser,10.44,-8.25,19.95
95,4,patrol,pouncer,1.97,-11.35,20.29
96,1,patrol,swarm,-9.38,-5.47,17.19
96,2,patrol,swarm,-5.03,-7.30,16.95
96,3,patrol,bruiser,10.44,-8.24,19.92
96,4,patrol,pouncer,1.96,-11.35,20.26
97,1,patrol,swarm,-9.41,-5.46,17.13
97,2,patrol,swarm,-5.00,-7.32,16.87
97,3,patrol,bruiser,10.43,-8.22,19.81
97,4,patrol,pouncer,1.95,-11.32,20.13
98,1,patrol,swarm,-9.41,-5.46,17.11
98,2,patrol,swarm,-5.00,-7.32,16.85
98,3,patrol,bruiser,10.43,-8.21,19.78
98,4,patrol,pouncer,1.95,-11.31,20.10
99,1,patrol,swarm,-9.44,-5.45,17.04
99,2,patrol,swarm,-4.97,-7.35,16.75
99,3,patrol,bruiser,10.42,-8.19,19.65
99,4,patrol,pouncer,1.94,-11.28,19.94
100,1,patrol,swarm,-9.45,-5.45,17.02
100,2,patrol,swarm,-4.96,-7.35,16.73
100,3,patrol,bruiser,10.42,-8.18,19.61
100,4,patrol,pouncer,1.93,-11.27,19.90
101,1,patrol,swarm,-9.48,-5.44,16.95
101,2,patrol,swarm,-4.93,-7.37,16.64
101,3,patrol,bruiser,10.42,-8.16,19.49
101,4,patrol,pouncer,1.92,-11.24,19.76
102,1,patrol,swarm,-9.49,-5.44,16.93
102,2,patrol,swarm,-4.92,-7.38,16.62
102,3,patrol,bruiser,10.41,-8.16,19.47
102,4,patrol,pouncer,1.92,-11.23,19.73
103,1,patrol,swarm,-9.51,-5.44,16.88
103,2,patrol,swarm,-4.90,-7.39,16.55
103,3,patrol,bruiser,10.41,-8.14,19.37
103,4,patrol,pouncer,1.91,-11.20,19.62
104,1,patrol,swarm,-9.52,-5.44,16.86
104,2,patrol,swarm,-4.89,-7.40,16.53
104,3,patrol,bruiser,10.41,-8.13,19.34
104,4,patrol,pouncer,1.91,-11.20,19.58
105,1,patrol,swarm,-9.55,-5.43,16.78
105,2,patrol,swarm,-4.86,-7.42,16.42
105,3,patrol,bruiser,10.40,-8.11,19.19
105,4,patrol,pouncer,1.89,-11.16,19.41
106,1,patrol,swarm,-9.56,-5.43,16.76
106,2,patrol,swarm,-4.85,-7.43,16.40
106,3,patrol,bruiser,10.40,-8.10,19.16
106,4,patrol,pouncer,1.89,-11.15,19.38
107,1,patrol,swarm,-9.58,-5.42,16.70
107,2,patrol,swarm,-4.83,-7.45,16.32
107,3,patrol,bruiser,10.39,-8.08,19.04
107,4,patrol,pouncer,1.88,-11.12,19.24
108,1,patrol,swarm,-9.59,-5.42,16.68
108,2,patrol,swarm,-4.82,-7.45,16.30
108,3,patrol,bruiser,10.39,-8.07,19.01
108,4,patrol,pouncer,1.87,-11.11,19.21
109,1,patrol,swarm,-9.62,-5.41,16.61
109,2,patrol,swarm,-4.79,-7.47,16.21
109,3,patrol,bruiser,10.39,-8.05,18.89
109,4,patrol,pouncer,1.86,-11.08,19.07
110,1,patrol,swarm,-9.63,-5.41,16.60
110,2,patrol,swarm,-4.79,-7.48,16.19
110,3,patrol,bruiser,10.39,-8.05,18.86
110,4,patrol,pouncer,1.86,-11.08,19.03
111,1,patrol,swarm,-9.65,-5.40,16.53
111,2,patrol,swarm,-4.76,-7.50,16.10
111,3,patrol,bruiser,10.38,-8.02,18.74
111,4,patrol,pouncer,1.85,-11.05,18.89
112,1,patrol,swarm,-9.66,-5.40,16.52
112,2,patrol,swarm,-4.75,-7.50,16.08
112,3,patrol,bruiser,10.38,-8.02,18.71
112,4,patrol,pouncer,1.84,-11.04,18.86
113,1,patrol,swarm,-9.68,-5.40,16.46
113,2,patrol,swarm,-4.73,-7.52,16.00
113,3,patrol,bruiser,10.37,-8.00,18.60
113,4,patrol,pouncer,1.83,-11.01,18.73
114,1,patrol,swarm,-9.69,-5.40,16.44
114,2,patrol,swarm,-4.72,-7.53,15.98
114,3,patrol,bruiser,10.37,-7.99,18.57
114,4,patrol,pouncer,1.83,-11.00,18.69
115,1,patrol,swarm,-9.71,-5.39,16.39
115,2,patrol,swarm,-4.70,-7.55,15.91
115,3,patrol,bruiser,10.37,-7.97,18.47
115,4,patrol,pouncer,1.82,-10.98,18.57
116,1,patrol,swarm,-9.72,-5.39,16.37
116,2,patrol,swarm,-4.69,-7.55,15.88
116,3,patrol,bruiser,10.36,-7.97,18.43
116,4,patrol,pouncer,1.82,-10.97,18.53
117,1,patrol,swarm,-9.75,-5.38,16.31
117,2,patrol,swarm,-4.66,-7.57,15.80
117,3,patrol,bruiser,10.36,-7.95,18.32
117,4,patrol,pouncer,1.81,-10.94,18.41
118,1,patrol,swarm,-9.76,-5.38,16.29
118,2,patrol,swarm,-4.65,-7.58,15.78
118,3,patrol,bruiser,10.36,-7.94,18.29
118,4,patrol,pouncer,1.80,-10.93,18.37
119,1,patrol,swarm,-9.78,-5.38,16.24
119,2,patrol,swarm,-4.63,-7.59,15.70
119,3,patrol,bruiser,10.35,-7.92,18.18
119,4,patrol,pouncer,1.79,-10.90,18.24
120,1,patrol,swarm,-9.79,-5.37,16.22
120,2,patrol,swarm,-4.62,-7.60,15.68
120,3,patrol,bruiser,10.35,-7.92,18.15
120,4,patrol,pouncer,1.79,-10.90,18.21
121,1,patrol,swarm,-9.82,-5.37,16.16
121,2,patrol,swarm,-4.59,-7.62,15.59
121,3,patrol,bruiser,10.34,-7.89,18.02
121,4,patrol,pouncer,1.78,-10.86,18.06
122,1,patrol,swarm,-9.82,-5.37,16.14
122,2,patrol,swarm,-4.59,-7.63,15.56
122,3,patrol,bruiser,10.34,-7.89,17.99
122,4,patrol,pouncer,1.77,-10.86,18.02
123,1,patrol,swarm,-9.84,-5.36,16.09
123,2,patrol,swarm,-4.56,-7.64,15.50
123,3,patrol,bruiser,10.34,-7.87,17.90
123,4,patrol,pouncer,1.76,-10.83,17.91
124,1,patrol,swarm,-9.85,-5.36,16.08
124,2,patrol,swarm,-4.56,-7.65,15.48
124,3,patrol,bruiser,10.34,-7.86,17.87
124,4,patrol,pouncer,1.76,-10.83,17.88
125,1,patrol,swarm,-9.88,-5.35,16.01
125,2,patrol,swarm,-4.53,-7.67,15.38
125,3,patrol,bruiser,10.33,-7.84,17.73
125,4,patrol,pouncer,1.75,-10.79,17.72
126,1,patrol,swarm,-9.89,-5.35,15.99
126,2,patrol,swarm,-4.52,-7.68,15.35
126,3,patrol,bruiser,10.33,-7.83,17.70
126,4,patrol,pouncer,1.75,-10.78,17.68
127,1,patrol,swarm,-9.91,-5.35,15.94
127,2,patrol,swarm,-4.49,-7.69,15.28
127,3,patrol,bruiser,10.32,-7.81,17.59
127,4,patrol,pouncer,1.73,-10.76,17.56
128,1,patrol,swarm,-9.92,-5.34,15.93
128,2,patrol,swarm,-4.49,-7.70,15.26
128,3,patrol,bruiser,10.32,-7.81,17.56
128,4,patrol,pouncer,1.73,-10.75,17.52
