frame,enemy,state,archetype,x,z,dist
1,1,patrol,swarm,-7.00,-6.00,17.46
1,2,patrol,swarm,-4.00,-9.00,19.42
1,3,patrol,bruiser,9.00,-8.00,20.12
1,4,patrol,pouncer,3.00,-14.00,24.19
2,1,patrol,swarm,-7.09,-5.98,17.48
2,2,patrol,swarm,-4.05,-8.92,19.35
2,3,patrol,bruiser,9.06,-8.01,20.16
2,4,patrol,pouncer,2.96,-13.90,24.08
3,1,patrol,swarm,-7.38,-5.91,17.54
3,2,patrol,swarm,-4.22,-8.68,19.15
3,3,patrol,bruiser,9.25,-8.06,20.29
3,4,patrol,pouncer,2.83,-13.58,23.75
4,1,patrol,swarm,-7.45,-5.90,17.56
4,2,patrol,swarm,-4.26,-8.61,19.09
4,3,patrol,bruiser,9.30,-8.08,20.33
4,4,patrol,pouncer,2.80,-13.50,23.66
5,1,patrol,swarm,-7.52,-5.88,17.57
5,2,patrol,swarm,-4.29,-8.56,19.05
5,3,patrol,bruiser,9.34,-8.09,20.36
5,4,patrol,pouncer,2.77,-13.42,23.59
6,1,patrol,swarm,-7.55,-5.88,17.58
6,2,patrol,swarm,-4.31,-8.53,19.02
6,3,patrol,bruiser,9.37,-8.09,20.37
6,4,patrol,pouncer,2.76,-13.38,23.55
7,1,patrol,swarm,-7.57,-5.87,17.59
7,2,patrol,swarm,-4.33,-8.51,19.01
7,3,patrol,bruiser,9.38,-8.10,20.38
7,4,patrol,pouncer,2.75,-13.36,23.52
8,1,patrol,swarm,-7.60,-5.87,17.59
8,2,patrol,swarm,-4.34,-8.49,18.99
8,3,patrol,bruiser,9.40,-8.10,20.39
8,4,patrol,pouncer,2.74,-13.34,23.50
9,1,patrol,swarm,-7.69,-5.84,17.61
9,2,patrol,swarm,-4.39,-8.41,18.93
9,3,patrol,bruiser,9.46,-8.11,20.44
9,4,patrol,pouncer,2.70,-13.23,23.39
10,1,patrol,swarm,-7.74,-5.83,17.63
10,2,patrol,swarm,-4.42,-8.37,18.89
10,3,patrol,bruiser,9.49,-8.12,20.46
10,4,patrol,pouncer,2.68,-13.17,23.33
11,1,patrol,swarm,-7.80,-5.82,17.64
11,2,patrol,swarm,-4.45,-8.32,18.85
11,3,patrol,bruiser,9.53,-8.13,20.48
11,4,patrol,pouncer,2.65,-13.11,23.26
12,1,patrol,swarm,-7.83,-5.81,17.65
12,2,patrol,swarm,-4.47,-8.29,18.83
12,3,patrol,bruiser,9.55,-8.14,20.50
12,4,patrol,pouncer,2.64,-13.07,23.22
13,1,patrol,swarm,-7.87,-5.81,17.66
13,2,patrol,swarm,-4.49,-8.26,18.80
13,3,patrol,bruiser,9.58,-8.14,20.52
13,4,patrol,pouncer,2.62,-13.03,23.18
14,1,patrol,swarm,-7.89,-5.80,17.66
14,2,patrol,swarm,-4.51,-8.24,18.79
14,3,patrol,bruiser,9.59,-8.15,20.53
14,4,patrol,pouncer,2.61,-13.01,23.16
15,1,patrol,swarm,-7.95,-5.79,17.67
15,2,patrol,swarm,-4.54,-8.19,18.75
15,3,patrol,bruiser,9.63,-8.16,20.55
15,4,patrol,pouncer,2.59,-12.95,23.09
16,1,patrol,swarm,-8.02,-5.77,17.69
16,2,patrol,swarm,-4.58,-8.13,18.70
16,3,patrol,bruiser,9.68,-8.17,20.59
16,4,patrol,pouncer,2.56,-12.86,23.01
17,1,patrol,swarm,-8.09,-5.75,17.71
17,2,patrol,swarm,-4.62,-8.07,18.65
17,3,patrol,bruiser,9.73,-8.18,20.62
17,4,patrol,pouncer,2.52,-12.78,22.92
18,1,patrol,swarm,-8.15,-5.74,17.73
18,2,patrol,swarm,-4.65,-8.02,18.61
18,3,patrol,bruiser,9.76,-8.19,20.65
18,4,patrol,pouncer,2.50,-12.72,22.85
19,1,patrol,swarm,-8.19,-5.73,17.74
19,2,patrol,swarm,-4.68,-7.98,18.58
19,3,patrol,bruiser,9.79,-8.20,20.67
19,4,patrol,pouncer,2.48,-12.67,22.80
20,1,patrol,swarm,-8.25,-5.72,17.75
20,2,patrol,swarm,-4.71,-7.94,18.55
20,3,patrol,bruiser,9.83,-8.21,20.69
20,4,patrol,pouncer,2.46,-12.61,22.75
21,1,patrol,swarm,-8.31,-5.70,17.77
21,2,patrol,swarm,-4.75,-7.88,18.50
21,3,patrol,bruiser,9.87,-8.22,20.72
21,4,patrol,pouncer,2.43,-12.54,22.67
22,1,patrol,swarm,-8.41,-5.68,17.80
22,2,patrol,swarm,-4.80,-7.80,18.43
22,3,patrol,bruiser,9.94,-8.23,20.77
22,4,patrol,pouncer,2.39,-12.43,22.55
23,1,patrol,swarm,-8.47,-5.67,17.81
23,2,patrol,swarm,-4.83,-7.75,18.39
23,3,patrol,bruiser,9.97,-8.24,20.79
23,4,patrol,pouncer,2.36,-12.36,22.49
24,1,patrol,swarm,-8.56,-5.65,17.84
24,2,patrol,swarm,-4.89,-7.67,18.33
24,3,patrol,bruiser,10.03,-8.26,20.83
24,4,patrol,pouncer,2.32,-12.26,22.39
25,1,patrol,swarm,-8.60,-5.64,17.85
25,2,patrol,swarm,-4.91,-7.63,18.30
25,3,patrol,bruiser,10.06,-8.27,20.86
25,4,patrol,pouncer,2.30,-12.21,22.33
26,1,patrol,swarm,-8.67,-5.62,17.87
26,2,patrol,swarm,-4.95,-7.57,18.26
26,3,patrol,bruiser,10.11,-8.28,20.89
26,4,patrol,pouncer,2.27,-12.14,22.25
27,1,patrol,swarm,-8.76,-5.60,17.90
27,2,patrol,swarm,-5.00,-7.50,18.20
27,3,patrol,bruiser,10.17,-8.29,20.93
27,4,patrol,pouncer,2.24,-12.04,22.15
28,1,patrol,swarm,-8.79,-5.60,17.91
28,2,patrol,swarm,-5.02,-7.47,18.18
28,3,patrol,bruiser,10.19,-8.30,20.94
28,4,patrol,pouncer,2.22,-12.00,22.11
29,1,patrol,swarm,-8.85,-5.59,17.92
29,2,patrol,swarm,-5.05,-7.43,18.14
29,3,patrol,bruiser,10.22,-8.31,20.97
29,4,patrol,pouncer,2.20,-11.94,22.05
30,1,patrol,swarm,-8.90,-5.57,17.94
30,2,patrol,swarm,-5.08,-7.38,18.11
30,3,patrol,bruiser,10.26,-8.32,20.99
30,4,patrol,pouncer,2.17,-11.88,21.99
31,1,patrol,swarm,-8.95,-5.56,17.95
31,2,patrol,swarm,-5.11,-7.34,18.07
31,3,patrol,bruiser,10.29,-8.32,21.02
31,4,patrol,pouncer,2.15,-11.83,21.93
32,1,patrol,swarm,-9.01,-5.55,17.97
32,2,patrol,swarm,-5.14,-7.28,18.03
32,3,patrol,bruiser,10.34,-8.33,21.05
32,4,patrol,pouncer,2.12,-11.76,21.86
33,1,patrol,swarm,-9.06,-5.54,17.99
33,2,patrol,swarm,-5.17,-7.24,18.00
33,3,patrol,bruiser,10.37,-8.34,21.07
33,4,patrol,pouncer,2.10,-11.70,21.80
34,1,patrol,swarm,-9.12,-5.52,18.00
34,2,patrol,swarm,-5.20,-7.19,17.96
34,3,patrol,bruiser,10.40,-8.35,21.10
34,4,patrol,pouncer,2.08,-11.64,21.74
35,1,patrol,swarm,-9.16,-5.52,18.02
35,2,patrol,swarm,-5.16,-7.22,17.98
35,3,patrol,bruiser,10.43,-8.36,21.12
35,4,patrol,pouncer,2.06,-11.59,21.69
36,1,patrol,swarm,-9.21,-5.50,17.89
36,2,patrol,swarm,-5.12,-7.26,17.83
36,3,patrol,bruiser,10.46,-8.37,20.97
36,4,patrol,pouncer,2.04,-11.54,21.45
37,1,patrol,swarm,-9.25,-5.50,17.79
37,2,patrol,swarm,-5.08,-7.28,17.72
37,3,patrol,bruiser,10.46,-8.34,20.81
37,4,patrol,pouncer,2.02,-11.50,21.27
38,1,patrol,swarm,-9.26,-5.49,17.74
38,2,patrol,swarm,-5.06,-7.30,17.66
38,3,patrol,bruiser,10.45,-8.32,20.73
38,4,patrol,pouncer,2.02,-11.48,21.18
39,1,patrol,swarm,-9.31,-5.48,17.64
39,2,patrol,swarm,-5.02,-7.33,17.54
39,3,patrol,bruiser,10.44,-8.29,20.55
39,4,patrol,pouncer,2.00,-11.43,20.97
40,1,patrol,swarm,-9.33,-5.48,17.56
40,2,patrol,swarm,-5.00,-7.35,17.45
40,3,patrol,bruiser,10.44,-8.27,20.43
40,4,patrol,pouncer,1.99,-11.40,20.83
41,1,patrol,swarm,-9.37,-5.47,17.47
41,2,patrol,swarm,-4.96,-7.37,17.33
41,3,patrol,bruiser,10.43,-8.24,20.27
41,4,patrol,pouncer,1.97,-11.36,20.64
42,1,patrol,swarm,-9.39,-5.46,17.41
42,2,patrol,swarm,-4.94,-7.39,17.26
42,3,patrol,bruiser,10.43,-8.22,20.16
42,4,patrol,pouncer,1.96,-11.33,20.52
43,1,patrol,swarm,-9.43,-5.46,17.33
43,2,patrol,swarm,-4.90,-7.41,17.16
43,3,patrol,bruiser,10.42,-8.20,20.02
43,4,patrol,pouncer,1.95,-11.30,20.36
44,1,patrol,swarm,-9.44,-5.45,17.30
44,2,patrol,swarm,-4.89,-7.42,17.12
44,3,patrol,bruiser,10.42,-8.19,19.97
44,4,patrol,pouncer,1.94,-11.28,20.31
45,1,patrol,swarm,-9.45,-5.45,17.26
45,2,patrol,swarm,-4.88,-7.43,17.07
45,3,patrol,bruiser,10.41,-8.18,19.90
45,4,patrol,pouncer,1.93,-11.27,20.23
46,1,patrol,swarm,-9.48,-5.44,17.19
46,2,patrol,swarm,-4.85,-7.45,17.00
46,3,patrol,bruiser,10.41,-8.16,19.79
46,4,patrol,pouncer,1.92,-11.24,20.10
47,1,patrol,swarm,-9.52,-5.44,17.10
47,2,patrol,swarm,-4.82,-7.48,16.88
47,3,patrol,bruiser,10.40,-8.13,19.63
47,4,patrol,pouncer,1.91,-11.20,19.91
48,1,patrol,swarm,-9.55,-5.43,17.03
48,2,patrol,swarm,-4.79,-7.50,16.79
48,3,patrol,bruiser,10.39,-8.10,19.50
48,4,patrol,pouncer,1.89,-11.16,19.76
49,1,patrol,swarm,-9.59,-5.42,16.91
49,2,patrol,swarm,-4.74,-7.53,16.64
49,3,patrol,bruiser,10.38,-8.07,19.30
49,4,patrol,pouncer,1.87,-11.11,19.53
50,1,patrol,swarm,-9.62,-5.41,16.85
50,2,patrol,swarm,-4.71,-7.55,16.56
50,3,patrol,bruiser,10.38,-8.05,19.19
50,4,patrol,pouncer,1.86,-11.08,19.40
51,1,patrol,swarm,-9.66,-5.40,16.75
51,2,patrol,swarm,-4.67,-7.58,16.43
51,3,patrol,bruiser,10.37,-8.01,19.01
51,4,patrol,pouncer,1.85,-11.04,19.19
52,1,patrol,swarm,-9.68,-5.40,16.69
52,2,patrol,swarm,-4.65,-7.60,16.36
52,3,patrol,bruiser,10.37,-7.99,18.90
52,4,patrol,pouncer,1.83,-11.01,19.07
53,1,patrol,swarm,-9.72,-5.39,16.61
53,2,patrol,swarm,-4.62,-7.63,16.25
53,3,patrol,bruiser,10.36,-7.97,18.75
53,4,patrol,pouncer,1.82,-10.97,18.90
54,1,patrol,swarm,-9.74,-5.38,16.56
54,2,patrol,swarm,-4.59,-7.64,16.17
54,3,patrol,bruiser,10.35,-7.95,18.64
54,4,patrol,pouncer,1.81,-10.95,18.77
55,1,patrol,swarm,-9.77,-5.38,16.48
55,2,patrol,swarm,-4.56,-7.67,16.08
55,3,patrol,bruiser,10.35,-7.92,18.51
55,4,patrol,pouncer,1.80,-10.91,18.62
56,1,patrol,swarm,-9.82,-5.37,16.38
56,2,patrol,swarm,-4.51,-7.70,15.93
56,3,patrol,bruiser,10.34,-7.88,18.31
56,4,patrol,pouncer,1.78,-10.86,18.38
57,1,patrol,swarm,-9.84,-5.36,16.31
57,2,patrol,swarm,-4.48,-7.72,15.84
57,3,patrol,bruiser,10.33,-7.86,18.18
57,4,patrol,pouncer,1.76,-10.83,18.24
58,1,patrol,swarm,-9.87,-5.36,16.26
58,2,patrol,swarm,-4.46,-7.74,15.76
58,3,patrol,bruiser,10.33,-7.84,18.07
58,4,patrol,pouncer,1.75,-10.80,18.11
59,1,patrol,swarm,-9.90,-5.35,16.20
59,2,patrol,swarm,-4.43,-7.76,15.68
59,3,patrol,bruiser,10.32,-7.82,17.95
59,4,patrol,pouncer,1.74,-10.77,17.97
60,1,patrol,swarm,-9.95,-5.34,16.07
60,2,patrol,swarm,-4.37,-7.80,15.49
60,3,patrol,bruiser,10.31,-7.77,17.70
60,4,patrol,pouncer,1.72,-10.71,17.68
61,1,patrol,swarm,-9.98,-5.33,16.00
61,2,patrol,swarm,-4.34,-7.83,15.39
61,3,patrol,bruiser,10.30,-7.75,17.55
61,4,patrol,pouncer,1.70,-10.68,17.51
62,1,patrol,swarm,-10.01,-5.32,15.94
62,2,patrol,swarm,-4.31,-7.85,15.31
62,3,patrol,bruiser,10.30,-7.72,17.44
62,4,patrol,pouncer,1.69,-10.65,17.38
63,1,patrol,swarm,-10.04,-5.32,15.89
63,2,patrol,swarm,-4.29,-7.87,15.22
63,3,patrol,bruiser,10.29,-7.70,17.33
63,4,patrol,pouncer,1.68,-10.62,17.24
64,1,patrol,swarm,-10.10,-5.30,15.75
64,2,patrol,swarm,-4.22,-7.92,15.01
64,3,patrol,bruiser,10.28,-7.65,17.04
64,4,patrol,pouncer,1.65,-10.55,16.91
65,1,patrol,swarm,-10.13,-5.30,15.69
65,2,patrol,swarm,-4.19,-7.94,14.92
65,3,patrol,bruiser,10.27,-7.63,16.92
65,4,patrol,pouncer,1.64,-10.52,16.76
66,1,patrol,swarm,-10.14,-5.29,15.66
66,2,patrol,swarm,-4.18,-7.95,14.87
66,3,patrol,bruiser,10.27,-7.62,16.85
66,4,patrol,pouncer,1.64,-10.50,16.69
67,1,patrol,swarm,-10.17,-5.29,15.61
67,2,patrol,swarm,-4.15,-7.97,14.78
67,3,patrol,bruiser,10.26,-7.59,16.73
67,4,patrol,pouncer,1.62,-10.47,16.54
68,1,patrol,swarm,-10.24,-5.27,15.47
68,2,patrol,swarm,-4.07,-8.03,14.55
68,3,patrol,bruiser,10.24,-7.53,16.41
68,4,patrol,pouncer,1.59,-10.39,16.17
69,1,patrol,swarm,-10.28,-5.26,15.40
69,2,patrol,swarm,-4.04,-8.05,14.43
69,3,patrol,bruiser,10.24,-7.50,16.25
69,4,patrol,pouncer,1.63,-10.43,16.07
70,1,patrol,swarm,-10.32,-5.25,15.31
70,2,patrol,swarm,-3.99,-8.09,14.28
70,3,patrol,bruiser,10.23,-7.47,16.06
70,4,patrol,pouncer,1.67,-10.49,15.94
71,1,patrol,swarm,-10.37,-5.24,15.21
71,2,patrol,swarm,-3.93,-8.13,14.11
71,3,patrol,bruiser,10.22,-7.42,15.82
71,4,patrol,pouncer,1.72,-10.55,15.79
72,1,patrol,swarm,-10.41,-5.23,15.14
72,2,patrol,swarm,-3.89,-8.16,13.98
72,3,patrol,bruiser,10.21,-7.39,15.65
72,4,patrol,pouncer,1.76,-10.59,15.68
73,1,patrol,swarm,-10.46,-5.22,15.06
73,2,patrol,swarm,-3.84,-8.20,13.83
73,3,patrol,bruiser,10.20,-7.35,15.44
73,4,patrol,pouncer,1.80,-10.65,15.54
74,1,patrol,swarm,-10.52,-5.21,14.96
74,2,patrol,swarm,-3.78,-8.24,13.63
74,3,patrol,bruiser,10.18,-7.31,15.18
74,4,patrol,pouncer,1.86,-10.72,15.36
75,1,patrol,swarm,-10.56,-5.20,14.89
75,2,patrol,swarm,-3.73,-8.28,13.49
75,3,patrol,bruiser,10.18,-7.27,15.00
75,4,patrol,pouncer,1.90,-10.77,15.24
76,1,patrol,swarm,-10.61,-5.19,14.81
76,2,patrol,swarm,-3.68,-8.32,13.32
76,3,patrol,bruiser,10.16,-7.23,14.77
76,4,patrol,pouncer,1.95,-10.83,15.09
77,1,patrol,swarm,-10.66,-5.18,14.72
77,2,patrol,swarm,-3.62,-8.36,13.13
77,3,patrol,bruiser,10.15,-7.18,14.53
77,4,patrol,pouncer,2.01,-10.90,14.93
78,1,patrol,swarm,-10.70,-5.17,14.66
78,2,patrol,swarm,-3.57,-8.39,12.99
78,3,patrol,bruiser,10.14,-7.15,14.35
78,4,patrol,pouncer,2.05,-10.95,14.81
79,1,patrol,swarm,-10.76,-5.15,14.57
79,2,patrol,swarm,-3.50,-8.44,12.77
79,3,patrol,bruiser,10.13,-7.10,14.07
79,4,patrol,pouncer,2.11,-11.03,14.62
80,1,patrol,swarm,-10.82,-5.14,14.49
80,2,patrol,swarm,-3.45,-8.49,12.59
80,3,patrol,bruiser,10.12,-7.05,13.83
80,4,patrol,pouncer,2.17,-11.09,14.45
81,1,patrol,swarm,-10.88,-5.13,14.41
81,2,patrol,swarm,-3.37,-8.54,12.36
81,3,patrol,bruiser,10.10,-7.00,13.54
81,4,patrol,pouncer,2.24,-11.18,14.25
82,1,patrol,swarm,-10.91,-5.12,14.37
82,2,patrol,swarm,-3.34,-8.57,12.25
82,3,patrol,bruiser,10.10,-6.97,13.40
82,4,patrol,pouncer,2.27,-11.22,14.16
83,1,patrol,swarm,-10.97,-5.11,14.30
83,2,patrol,swarm,-3.28,-8.61,12.05
83,3,patrol,bruiser,10.08,-6.93,13.16
83,4,alert,pouncer,2.27,-11.22,13.91
84,1,patrol,swarm,-11.02,-5.10,14.25
84,2,alert,swarm,-3.28,-8.61,11.86
84,3,patrol,bruiser,10.07,-6.89,12.94
84,4,alert,pouncer,2.27,-11.22,13.69
85,1,patrol,swarm,-11.07,-5.09,14.20
85,2,alert,swarm,-3.28,-8.61,11.67
85,3,patrol,bruiser,10.06,-6.84,12.72
85,4,alert,pouncer,2.27,-11.22,13.46
86,1,patrol,swarm,-11.11,-5.08,14.16
86,2,alert,swarm,-3.28,-8.61,11.51
86,3,patrol,bruiser,10.05,-6.81,12.54
86,4,alert,pouncer,2.27,-11.22,13.28
87,1,patrol,swarm,-11.17,-5.07,14.11
87,2,alert,swarm,-3.28,-8.61,11.29
87,3,patrol,bruiser,10.04,-6.76,12.30
87,4,alert,pouncer,2.27,-11.22,13.03
88,1,patrol,swarm,-11.21,-5.06,14.08
88,2,alert,swarm,-3.28,-8.61,11.14
88,3,patrol,bruiser,10.03,-6.73,12.14
88,4,alert,pouncer,2.27,-11.22,12.85
89,1,patrol,swarm,-11.24,-5.05,14.05
89,2,alert,swarm,-3.28,-8.61,11.00
89,3,patrol,bruiser,10.03,-6.70,11.98
89,4,alert,pouncer,2.27,-11.22,12.69
90,1,patrol,swarm,-11.27,-5.04,14.03
90,2,alert,swarm,-3.28,-8.61,10.91
90,3,patrol,bruiser,10.02,-6.68,11.88
90,4,alert,pouncer,2.27,-11.22,12.57
91,1,patrol,swarm,-11.31,-5.04,14.01
91,2,alert,swarm,-3.28,-8.61,10.75
91,3,patrol,bruiser,10.01,-6.65,11.70
91,4,alert,pouncer,2.27,-11.22,12.39
92,1,patrol,swarm,-11.36,-5.02,13.98
92,2,chase,swarm,-3.28,-8.61,10.56
92,3,patrol,bruiser,10.00,-6.61,11.50
92,4,stalk,pouncer,2.27,-11.22,12.16
93,1,patrol,swarm,-11.40,-5.02,13.96
93,2,chase,swarm,-3.13,-8.45,10.19
93,3,patrol,bruiser,9.99,-6.57,11.33
93,4,stalk,pouncer,2.16,-11.14,11.89
94,1,patrol,swarm,-11.45,-5.00,13.94
94,2,chase,swarm,-3.00,-8.21,9.73
94,3,patrol,bruiser,9.98,-6.53,11.12
94,4,stalk,pouncer,2.28,-11.03,11.55
95,1,patrol,swarm,-11.48,-5.00,13.93
95,2,chase,swarm,-2.94,-8.07,9.47
95,3,patrol,bruiser,9.97,-6.51,11.00
95,4,stalk,pouncer,2.35,-10.96,11.36
96,1,patrol,swarm,-11.52,-4.99,13.91
96,2,chase,swarm,-2.88,-7.83,9.06
96,3,patrol,bruiser,9.96,-6.47,10.82
96,4,stalk,pouncer,2.46,-10.87,11.07
97,1,patrol,swarm,-11.58,-4.98,13.90
97,2,chase,swarm,-2.87,-7.54,8.59
97,3,patrol,bruiser,9.95,-6.42,10.60
97,4,stalk,pouncer,2.61,-10.75,10.71
98,1,patrol,swarm,-11.61,-4.97,13.90
98,2,chase,swarm,-2.87,-7.36,8.32
98,3,patrol,bruiser,9.95,-6.40,10.47
98,4,stalk,pouncer,2.69,-10.69,10.50
99,1,patrol,swarm,-11.64,-4.96,13.90
99,2,chase,swarm,-2.88,-7.21,8.11
99,3,patrol,bruiser,9.94,-6.38,10.37
99,4,stalk,pouncer,2.76,-10.63,10.33
100,1,patrol,swarm,-11.67,-4.96,13.90
100,2,chase,swarm,-2.90,-7.03,7.84
100,3,patrol,bruiser,9.93,-6.35,10.23
100,4,stalk,pouncer,2.85,-10.56,10.11
101,1,patrol,swarm,-11.71,-4.95,13.90
101,2,chase,swarm,-2.94,-6.79,7.52
101,3,patrol,bruiser,9.92,-6.31,10.07
101,4,stalk,pouncer,2.98,-10.48,9.84
102,1,patrol,swarm,-11.75,-4.94,13.90
102,2,chase,swarm,-2.96,-6.62,7.29
102,3,patrol,bruiser,9.92,-6.28,9.95
102,4,stalk,pouncer,3.06,-10.42,9.64
103,1,patrol,swarm,-11.78,-4.93,13.91
103,2,chase,swarm,-2.99,-6.40,7.02
103,3,patrol,bruiser,9.91,-6.25,9.80
103,4,stalk,pouncer,3.17,-10.34,9.40
104,1,patrol,swarm,-11.80,-4.93,13.91
104,2,chase,swarm,-3.00,-6.34,6.94
104,3,patrol,bruiser,9.90,-6.24,9.76
104,4,stalk,pouncer,3.21,-10.32,9.33
105,1,patrol,swarm,-11.84,-4.92,13.93
105,2,chase,swarm,-3.03,-6.08,6.63
105,3,patrol,bruiser,9.89,-6.20,9.59
105,4,stalk,pouncer,3.34,-10.24,9.05
106,1,patrol,swarm,-11.89,-4.91,13.95
106,2,chase,swarm,-3.04,-5.82,6.32
106,3,patrol,bruiser,9.88,-6.17,9.42
106,4,stalk,pouncer,3.48,-10.16,8.77
107,1,patrol,swarm,-11.94,-4.90,13.97
107,2,chase,swarm,-3.03,-5.51,5.98
107,3,patrol,bruiser,9.93,-6.19,9.32
107,4,stalk,pouncer,3.64,-10.06,8.45
108,1,patrol,swarm,-11.97,-4.89,13.99
108,2,chase,swarm,-3.01,-5.36,5.81
108,3,patrol,bruiser,9.96,-6.20,9.27
108,4,stalk,pouncer,3.73,-10.02,8.29
109,1,patrol,swarm,-12.01,-4.88,14.02
109,2,chase,swarm,-2.96,-5.13,5.55
109,3,patrol,bruiser,9.99,-6.22,9.19
109,4,stalk,pouncer,3.85,-9.95,8.06
110,1,patrol,swarm,-12.03,-4.88,14.03
110,2,chase,swarm,-2.93,-5.04,5.44
110,3,patrol,bruiser,10.01,-6.23,9.16
110,4,stalk,pouncer,3.91,-9.92,7.96
111,1,patrol,swarm,-12.06,-4.87,14.05
111,2,chase,swarm,-2.86,-4.86,5.23
111,3,patrol,bruiser,10.04,-6.24,9.11
111,4,stalk,pouncer,4.01,-9.87,7.77
112,1,patrol,swarm,-12.09,-4.87,14.08
112,2,chase,swarm,-2.78,-4.71,5.05
112,3,patrol,bruiser,10.07,-6.26,9.06
112,4,stalk,pouncer,4.10,-9.82,7.61
113,1,patrol,swarm,-12.15,-4.85,14.12
113,2,chase,swarm,-2.58,-4.48,4.72
113,3,alert,bruiser,10.07,-6.26,8.92
113,4,stalk,pouncer,4.27,-9.74,7.34
114,1,patrol,swarm,-12.19,-4.84,14.16
114,2,chase,swarm,-2.39,-4.34,4.45
114,3,alert,bruiser,10.07,-6.26,8.82
114,4,stalk,pouncer,4.40,-9.68,7.12
115,1,patrol,swarm,-12.38,-4.80,14.39
115,2,chase,swarm,-1.38,-4.78,3.47
115,3,alert,bruiser,10.07,-6.26,8.39
115,4,stalk,pouncer,5.04,-9.45,6.27
116,1,patrol,swarm,-12.38,-4.80,14.40
116,2,chase,swarm,-1.34,-4.79,3.43
116,3,alert,bruiser,10.07,-6.26,8.39
116,4,stalk,pouncer,5.06,-9.43,6.27
117,1,patrol,swarm,-12.54,-4.77,14.55
117,2,chase,swarm,-0.58,-5.28,2.89
117,3,alert,bruiser,10.07,-6.26,8.39
117,4,stalk,pouncer,5.55,-9.18,6.31
118,1,patrol,swarm,-12.56,-4.76,14.58
118,2,chase,swarm,-0.42,-5.34,2.77
118,3,advance,bruiser,10.07,-6.26,8.39
118,4,stalk,pouncer,5.64,-9.12,6.32
119,1,patrol,swarm,-12.59,-4.76,14.61
119,2,chase,swarm,-0.24,-5.40,2.66
119,3,advance,bruiser,10.00,-6.24,8.32
119,4,stalk,pouncer,5.74,-9.06,6.32
120,1,patrol,swarm,-12.63,-4.75,14.64
120,2,chase,swarm,-0.05,-5.46,2.53
120,3,advance,bruiser,9.92,-6.22,8.24
120,4,stalk,pouncer,5.84,-8.99,6.32
121,1,patrol,swarm,-12.81,-4.71,14.82
121,2,chase,swarm,1.05,-5.53,1.83
121,3,advance,bruiser,9.52,-6.10,7.82
121,4,stalk,pouncer,6.39,-8.59,6.38
122,1,patrol,swarm,-12.83,-4.68,14.85
122,2,chase,swarm,1.23,-5.45,1.67
122,3,advance,bruiser,9.44,-6.08,7.74
122,4,stalk,pouncer,6.48,-8.51,6.38
123,1,patrol,swarm,-12.90,-4.61,14.91
123,2,chase,swarm,1.63,-5.06,1.15
123,3,advance,bruiser,9.23,-6.02,7.52
123,4,stalk,pouncer,6.72,-8.28,6.40
124,1,patrol,swarm,-12.93,-4.58,14.94
124,2,windup,swarm,1.63,-5.06,1.15
124,3,advance,bruiser,9.13,-5.99,7.42
124,4,stalk,pouncer,6.84,-8.15,6.40
125,1,patrol,swarm,-12.97,-4.54,14.98
125,2,windup,swarm,1.63,-5.06,1.15
125,3,advance,bruiser,9.02,-5.96,7.30
125,4,stalk,pouncer,6.97,-8.01,6.41
126,1,patrol,swarm,-13.01,-4.50,15.02
126,2,windup,swarm,1.63,-5.06,1.15
126,3,advance,bruiser,8.89,-5.92,7.17
126,4,stalk,pouncer,7.10,-7.85,6.41
127,1,patrol,swarm,-13.04,-4.48,15.04
127,2,windup,swarm,1.63,-5.06,1.15
127,3,advance,bruiser,8.82,-5.90,7.09
127,4,stalk,pouncer,7.17,-7.76,6.42
128,1,patrol,swarm,-13.07,-4.44,15.07
128,2,strike,swarm,1.63,-5.06,1.15
128,3,advance,bruiser,8.72,-5.87,6.99
128,4,stalk,pouncer,7.27,-7.63,6.42
129,1,patrol,swarm,-13.10,-4.41,15.10
129,2,strike,swarm,1.74,-4.72,0.80
129,3,advance,bruiser,8.62,-5.85,6.89
